name	wt 15' 0.4M - wt 0
YDR536W	262.9392837045
YGR052W	135.8767248848
YGR243W	75.783460823
YHR087W	67.657972631
YNL194C	62.6231016748
YGR088W	61.2293263766
YOL084W	51.7291268432
YJL108C, YJL107C	49.0605091206
YHR096C	47.4389851185
YER053C-A	35.8777633379
YBR116C, YBR117C	33.4554445386
YNL195C	28.3289655988
YDL214C	27.4980469783
YDL222C	23.1601882452
YOR348C	22.9831572113
YGR248W	21.6663501068
YFL014W	20.643914194
YEL011W	20.118010898
YML128C	19.5244071991
YAL061W	19.4282238075
YOR028C	19.4172336502
YOL052C-A	19.3924129774
YPL230W	18.9647418048
YMR169C	18.6525873883
YOR062C	18.408611571
YMR170C	17.9587104166
YNR014W	17.9427512301
YDL223C	17.6711012359
YNL036W	15.8796410977
YDR070C	15.3364268533
YGR043C	14.7508107256
YLR081W	14.5718031134
YGR249W	14.517753635
YFR015C	13.8241985575
YPL017C	13.6718324665
YML100W	13.2645665931
YER150W	13.2397473414
YGR067C	12.2028016321
YDR034W-B	12.132935856
YHR022C	12.0951291976
YLR251W, YLR252W	11.7693278432
YOR161C	11.718494263
YMR105C	11.2609666287
YMR081C	10.8838341797
YER062C	10.6315261955
YLR149C	10.5569911551
YOR273C	10.521471502
YDR171W	10.4192473673
YMR250W	10.3604814504
YOR374W	10.1921062946
YDL022W	10.1143580187
YHL021C	9.8449544664
YDR074W	9.7857747314
YPL054W	9.5451209105
YLR327C	9.527211054
YER037W	8.8670848819
YLR312C	8.6312471255
YFR052C-A, YFR053C	8.6149268653
YOL151W	8.5647827696
YLR258W	8.5172619397
YER067W	8.4518695829
YMR316W	8.3771138555
YOR178C	8.2302675822
YDL204W	7.9602879642
YDL024C, YDL022C-A	7.8724122053
YEL039C	7.8500387244
YPR030W	7.8412377495
YHR139C	7.8347732348
YGL037C	7.2355482377
YDR085C	7.0802978621
YKL163W	6.8987266817
YDR043C	6.8359729254
YDR516C	6.5319542743
YIL045W	6.44249978
YPL079W	6.4119670222
YLR108C	6.365807347
YJL144W	6.3590827789
YGR161C	6.2654521531
YHR033W	6.209961939
YIL113W	5.6693298619
YBR126C	5.5432400393
YER054C	5.5380608532
YLR267W	5.5329443939
YOR134W	5.52343179
YJL106W	5.4904721546
YML131W	5.4581065778
YMR291W	5.4327223937
YMR196W	5.3526686837
YPR160W, YPR160W-A	5.2817489853
YPL061W	5.2663554961
YLR270W	5.2196531621
YBR072W	5.119330956
YGR131W	5.1121562733
YER053C	5.0701716552
YGR008C	4.9536753514
YOR173W	4.9345341452
YCL042W, YCL040W	4.8872674057
YBR183W	4.8474629989
YJL142C, YJL141C	4.8457123891
YOR186W	4.8060987866
YOR220W	4.7924797927
YBR230C	4.7407162845
YGR067C	4.7093938213
YDR096W	4.6122059407
YMR195W	4.5914366327
YLL026W	4.5851112659
YDR119W-A	4.5416799861
YPR158W	4.5117464193
YLR211C	4.4966275783
YPR005C	4.467822489
YBR085C-A	4.331214537
YPL223C	4.2912239523
YJL153C	4.2684648957
YOR052C	4.2316764404
YDR258C	4.1799017608
YJL161W	4.1649017549
YNL274C	4.1334214592
YBR066C	4.0999724761
YKL096W	4.0734111341
YHR104W	4.0656500372
YBR045C	3.9800809238
YGL179C	3.9552940543
YHR094C	3.947961793
YDR358W	3.9437529634
YBR284W	3.9282667776
YKR011C	3.9223430193
YGR070W	3.919455809
YHR138C	3.8946595099
YJL057C	3.8817177478
YBR161W	3.8732055073
YDR223W	3.8306760019
YIL056W	3.7780261097
YDR379C-A	3.7511397902
YMR280C	3.7349337734
YKL091C	3.6647126241
YBR214W	3.6378127235
YOL032W	3.6344209131
YDL079C	3.6146721604
YLR446W	3.5921949535
YKR058W	3.5383969689
YKL093W	3.4957143076
YPR026W	3.4727983032
YGR142W	3.4538614904
YDR001C	3.4432980603
YMR052C-A, YMR053C	3.4313108736
YFR017C	3.4289641259
YMR037C	3.4121846797
YDL124W	3.392699974
YPR184W	3.3696931291
YGR121C	3.344114827
YHL024W	3.328225041
YPR061C	3.2893631539
YIL055C	3.2841889492
YNL077W	3.267052625
YBR084C-A	3.2546417437
YGL030W	3.2250888608
YDR540C	3.1912460958
YOR003W	3.1646115737
YGR144W	3.1552669018
YJL164C	3.1304123458
YLR345W	3.0970136898
YMR251W-A	3.096102352
YDR380W	3.0913819329
YKL151C	3.0816895935
YGR122W	3.0787199041
