UID	1M sorbitol - 15 min
YAL001C	0.06
YAL002W	0.07
YAL003W	-1.4
YAL004W	-0.06
YAL005C	0.26
YAL007C	-0.43
YAL008W	0.17
YAL009W	-0.02
YAL010C	0.51
YAL011W	-0.17
YAL012W	0.08
YAL013W	-0.23
YAL014C	-0.12
YAL015C	0.15
YAL016W	0.41
YAL017W	0.12
YAL018C	-0.09
YAL019W	-0.27
YAL020C	0.01
YAL021C	-0.16
YAL022C	-0.15
YAL023C	-0.29
YAL024C	0.02
YAL025C	-1.72
YAL026C	0.14
YAL027W	0.26
YAL028W	0.11
YAL029C	0.12
YAL030W	0.07
YAL031C	0.29
YAL032C	-0.11
YAL033W	0.03
YAL034C	0.7
YAL034W-A	-0.38
YAL035C-A	-0.38
YAL035W	-1.15
YAL036C	-1.08
YAL037W	0.28
YAL038W	-0.5
YAL039C	-0.35
YAL040C	0.17
YAL041W	-0.01
YAL042W	-0.27
YAL043C	-0.35
YAL043C-A	-0.22
YAL044C	-0.35
YAL045C	-0.34
YAL046C	-0.34
YAL047C	-0.32
YAL048C	0.37
YAL049C	-0.07
YAL051W	-0.03
YAL053W	-0.3
YAL054C	0.13
YAL055W	-0.19
YAL056W	0.06
YAL058C-A	NA
YAL058W	-0.16
YAL059W	-0.52
YAL060W	0.28
YAL061W	1.17
YAL062W	-0.05
YAL063C	-0.18
YAL064C-A	-0.3
YAL064W	-0.26
YAL064W-B	-0.04
YAL065C	-0.1
YAL066W	-0.2
YAL067C	-0.04
YAL068C	0.01
YAL069W	0.08
YAR002C-A	-0.6
YAR002W	-0.16
YAR003W	0.03
YAR007C	-0.04
YAR008W	-0.27
YAR009C	-0.08
YAR010C	-0.33
YAR014C	0.23
YAR015W	-0.57
YAR018C	0
YAR019C	0.04
YAR020C	0.13
YAR023C	0.41
YAR027W	1.04
YAR028W	0.4
YAR029W	0.3
YAR030C	0.18
YAR031W	0.92
YAR033W	0.4
YAR035W	0.01
YAR042W	-0.06
YAR044W	-0.37
YAR047C	-0.08
YAR050W	0.36
YAR053W	-1
YAR060C	-0.16
YAR061W	-0.12
YAR062W	0.35
YAR064W	-0.35
YAR066W	-0.67
YAR068W	0.11
YAR069C	-0.24
YAR070C	0.11
YAR071W	-1.09
YAR073W	-0.69
YAR075W	-1.22
YBL001C	0.01
YBL002W	-0.14
YBL003C	-0.37
YBL004W	-0.4
YBL005W	0.89
YBL005W-A	-0.28
YBL005W-B	0.37
YBL006C	-0.12
YBL007C	-0.06
YBL008W	-0.16
YBL009W	-0.59
YBL010C	-0.06
YBL011W	-0.05
YBL012C	-0.26
YBL013W	0.04
YBL014C	0.02
YBL015W	0.46
YBL016W	-0.17
YBL017C	0.07
YBL018C	-1.09
YBL019W	0.44
YBL020W	-0.12
YBL021C	0.15
YBL022C	-0.23
YBL023C	0.14
YBL024W	-1.12
YBL025W	0.49
YBL026W	-0.57
YBL027W	-1.38
YBL028C	-2.16
YBL029W	-0.9
YBL030C	-0.37
YBL031W	-0.31
YBL032W	-0.27
YBL033C	-0.19
YBL034C	-0.15
YBL035C	-0.88
YBL036C	-0.27
YBL037W	-0.02
YBL038W	-0.18
YBL039C	-3.12
YBL040C	-0.33
YBL041W	0.09
YBL042C	-1.58
YBL043W	0.19
YBL044W	0
YBL045C	0.35
YBL046W	-0.22
YBL047C	0.12
YBL048W	0.17
YBL049W	0.51
YBL050W	0.77
YBL051C	-0.02
YBL052C	-0.84
YBL053W	-0.75
YBL054W	-0.47
YBL055C	-0.26
YBL056W	-0.05
YBL057C	-0.08
YBL058W	-0.11
YBL059W	0.47
