ensembl_transcript_id	ensembl_gene_id	external_gene_name
ENST00000000233	ENSG00000004059	ARF5
ENST00000000412	ENSG00000003056	M6PR
ENST00000000442	ENSG00000173153	ESRRA
ENST00000001008	ENSG00000004478	FKBP4
ENST00000001146	ENSG00000003137	CYP26B1
ENST00000002125	ENSG00000003509	NDUFAF7
ENST00000002165	ENSG00000001036	FUCA2
ENST00000002501	ENSG00000003249	DBNDD1
ENST00000002596	ENSG00000002587	HS3ST1
ENST00000002829	ENSG00000001617	SEMA3F
ENST00000003084	ENSG00000001626	CFTR
ENST00000003100	ENSG00000001630	CYP51A1
ENST00000003302	ENSG00000048028	USP28
ENST00000003583	ENSG00000001460	STPG1
ENST00000004982	ENSG00000004776	HSPB6
ENST00000005178	ENSG00000004799	PDK4
ENST00000005180	ENSG00000006606	CCL26
ENST00000005226	ENSG00000006611	USH1C
ENST00000005257	ENSG00000006451	RALA
ENST00000005259	ENSG00000075790	BCAP29
ENST00000005260	ENSG00000006453	BAIAP2L1
ENST00000005284	ENSG00000006116	CACNG3
ENST00000005340	ENSG00000004975	DVL2
ENST00000005386	ENSG00000005175	RPAP3
ENST00000005558	ENSG00000006652	IFRD1
ENST00000005756	ENSG00000007001	UPP2
ENST00000005995	ENSG00000007038	PRSS21
ENST00000006015	ENSG00000005073	HOXA11
ENST00000006053	ENSG00000006210	CX3CL1
ENST00000006724	ENSG00000007306	CEACAM7
ENST00000006750	ENSG00000007312	CD79B
ENST00000006777	ENSG00000005486	RHBDD2
ENST00000007390	ENSG00000007520	TSR3
ENST00000007414	ENSG00000006025	OSBPL7
ENST00000007516	ENSG00000004779	NDUFAB1
ENST00000007699	ENSG00000006047	YBX2
ENST00000007735	ENSG00000006059	KRT33A
ENST00000007969	ENSG00000010626	LRRC23
ENST00000008391	ENSG00000008197	TFAP2D
ENST00000008527	ENSG00000008405	CRY1
ENST00000008938	ENSG00000008438	PGLYRP1
ENST00000009041	ENSG00000010270	STARD3NL
ENST00000009105	ENSG00000008118	CAMK1G
ENST00000009530	ENSG00000019582	CD74
ENST00000009589	ENSG00000008988	RPS20
ENST00000011292	ENSG00000091704	CPA1
ENST00000011473	ENSG00000008282	SYPL1
ENST00000011619	ENSG00000010017	RANBP9
ENST00000011653	ENSG00000010610	CD4
ENST00000011684	ENSG00000008323	PLEKHG6
ENST00000011898	ENSG00000011105	TSPAN9
ENST00000012049	ENSG00000011478	QPCTL
ENST00000012443	ENSG00000011485	PPP5C
ENST00000013070	ENSG00000012963	UBR7
ENST00000013125	ENSG00000012983	MAP4K5
ENST00000013222	ENSG00000241644	INMT
ENST00000014914	ENSG00000013588	GPRC5A
ENST00000014930	ENSG00000013583	HEBP1
ENST00000016171	ENSG00000014919	COX15
ENST00000016913	ENSG00000071203	MS4A12
ENST00000016946	ENSG00000015568	RGPD5
ENST00000017003	ENSG00000015532	XYLT2
ENST00000019103	ENSG00000080293	SCTR
ENST00000019317	ENSG00000017797	RALBP1
ENST00000020673	ENSG00000059915	PSD
ENST00000020926	ENSG00000019505	SYT13
ENST00000020945	ENSG00000019549	SNAI2
ENST00000022615	ENSG00000078668	VDAC3
ENST00000024061	ENSG00000022567	SLC45A4
ENST00000025008	ENSG00000023287	RB1CC1
ENST00000025301	ENSG00000023516	AKAP11
ENST00000027335	ENSG00000079112	CDH17
ENST00000029410	ENSG00000027847	B4GALT7
ENST00000033079	ENSG00000031003	FAM13B
ENST00000035307	ENSG00000033100	CHPF2
ENST00000035383	ENSG00000033122	LRRC7
ENST00000037243	ENSG00000034713	GABARAPL2
ENST00000037502	ENSG00000034971	MYOC
ENST00000037869	ENSG00000035141	FAM136A
ENST00000038176	ENSG00000035681	NSMAF
ENST00000039007	ENSG00000036473	OTC
ENST00000039989	ENSG00000052841	TTC17
ENST00000040584	ENSG00000037965	HOXC8
ENST00000040663	ENSG00000037757	MRI1
ENST00000040738	ENSG00000038219	BOD1L1
ENST00000040877	ENSG00000059588	TARBP1
ENST00000042381	ENSG00000039523	RIPOR1
ENST00000043402	ENSG00000040608	RTN4R
ENST00000044462	ENSG00000041357	PSMA4
ENST00000046087	ENSG00000042813	ZPBP
ENST00000046640	ENSG00000040531	CTNS
ENST00000046794	ENSG00000043462	LCP2
ENST00000052569	ENSG00000047932	GOPC
ENST00000052754	ENSG00000011465	DCN
ENST00000053243	ENSG00000048462	TNFRSF17
ENST00000053468	ENSG00000048544	MRPS10
ENST00000053469	ENSG00000048545	GUCA1A
ENST00000053867	ENSG00000030582	GRN
ENST00000054666	ENSG00000049245	VAMP3
ENST00000054668	ENSG00000049247	UTS2
ENST00000054950	ENSG00000049449	RCN1
ENST00000055077	ENSG00000049541	RFC2
ENST00000055335	ENSG00000049769	PPP1R3F
ENST00000055682	ENSG00000050030	KIAA2022
ENST00000056217	ENSG00000050327	ARHGEF5
ENST00000056233	ENSG00000050344	NFE2L3
ENST00000057513	ENSG00000050730	TNIP3
ENST00000060969	ENSG00000052723	SIKE1
ENST00000061240	ENSG00000038295	TLL1
ENST00000062104	ENSG00000053438	NNAT
ENST00000064571	ENSG00000054803	CBLN4
ENST00000064724	ENSG00000013297	CLDN11
ENST00000064780	ENSG00000054967	RELT
ENST00000066544	ENSG00000004897	CDC27
ENST00000072516	ENSG00000196083	IL1RAP
ENST00000072644	ENSG00000058799	YIPF1
ENST00000072869	ENSG00000133597	ADCK2
ENST00000075120	ENSG00000059804	SLC2A3
ENST00000075503	ENSG00000060140	STYK1
ENST00000078429	ENSG00000088256	GNA11
ENST00000078445	ENSG00000060566	CREB3L3
ENST00000078527	ENSG00000060642	PIGV
ENST00000080059	ENSG00000061273	HDAC7
ENST00000081029	ENSG00000061794	MRPS35
ENST00000083182	ENSG00000062725	APPBP2
ENST00000084798	ENSG00000063180	CA11
ENST00000085219	ENSG00000012124	CD22
ENST00000086933	ENSG00000063515	GSC2
ENST00000155674	ENSG00000069998	HDHD5
ENST00000155840	ENSG00000053918	KCNQ1
ENST00000155858	ENSG00000070985	TRPM5
ENST00000155926	ENSG00000071575	TRIB2
ENST00000156084	ENSG00000068308	OTUD5
ENST00000156109	ENSG00000068394	GPKOW
ENST00000156471	ENSG00000021776	AQR
ENST00000156499	ENSG00000129437	KLK14
ENST00000156626	ENSG00000070526	ST6GALNAC1
ENST00000157600	ENSG00000071282	LMCD1
ENST00000157812	ENSG00000013275	PSMC4
ENST00000158009	ENSG00000073598	FNDC8
ENST00000158762	ENSG00000072818	ACAP1
ENST00000158771	ENSG00000072849	DERL2
ENST00000159060	ENSG00000074771	NOX3
ENST00000159087	ENSG00000074855	ANO8
ENST00000159111	ENSG00000127663	KDM4B
ENST00000160262	ENSG00000076662	ICAM3
ENST00000160298	ENSG00000076826	CAMSAP3
ENST00000160373	ENSG00000077063	CTTNBP2
ENST00000160382	ENSG00000077080	ACTL6B
ENST00000160827	ENSG00000079616	KIF22
ENST00000161006	ENSG00000005001	PRSS22
ENST00000161559	ENSG00000079385	CEACAM1
ENST00000161863	ENSG00000047188	YTHDC2
ENST00000162330	ENSG00000050820	BCAR1
ENST00000162391	ENSG00000065970	FOXJ2
ENST00000162749	ENSG00000067182	TNFRSF1A
ENST00000163416	ENSG00000066455	GOLGA5
ENST00000164024	ENSG00000008300	CELSR3
ENST00000164133	ENSG00000068971	PPP2R5B
ENST00000164139	ENSG00000068976	PYGM
ENST00000164227	ENSG00000069399	BCL3
ENST00000164305	ENSG00000069943	PIGB
ENST00000164640	ENSG00000067840	PDZD4
ENST00000165524	ENSG00000071677	PRLH
ENST00000165698	ENSG00000068615	REEP1
ENST00000166139	ENSG00000070404	FSTL3
ENST00000166244	ENSG00000070886	EPHA8
ENST00000166345	ENSG00000071539	TRIP13
ENST00000167106	ENSG00000071246	VASH1
ENST00000167586	ENSG00000186847	KRT14
ENST00000167588	ENSG00000171431	KRT20
ENST00000168216	ENSG00000072506	HSD17B10
ENST00000168712	ENSG00000075388	FGF4
ENST00000168977	ENSG00000077009	NMRK2
ENST00000169298	ENSG00000073849	ST6GAL1
ENST00000169551	ENSG00000075336	TIMM21
ENST00000170150	ENSG00000078898	BPIFB2
ENST00000170168	ENSG00000079313	REXO1
ENST00000170447	ENSG00000075975	MKRN2
ENST00000170564	ENSG00000076650	GPATCH1
ENST00000171111	ENSG00000079999	KEAP1
ENST00000171757	ENSG00000078589	P2RY10
ENST00000171887	ENSG00000079308	TNS1
ENST00000172229	ENSG00000064300	NGFR
ENST00000173229	ENSG00000065320	NTN1
ENST00000173527	ENSG00000066583	ISOC1
ENST00000173898	ENSG00000067445	TRO
ENST00000174618	ENSG00000070444	MNT
ENST00000175091	ENSG00000068697	LAPTM4A
ENST00000175238	ENSG00000069206	ADAM7
ENST00000175756	ENSG00000072135	PTPN18
ENST00000176183	ENSG00000069696	DRD4
ENST00000176195	ENSG00000070031	SCT
ENST00000176643	ENSG00000072210	ALDH3A2
ENST00000176763	ENSG00000072786	STK10
ENST00000177648	ENSG00000073331	ALPK1
ENST00000177694	ENSG00000073861	TBX21
ENST00000178638	ENSG00000074410	CA12
ENST00000178640	ENSG00000137764	MAP2K5
ENST00000179259	ENSG00000078237	TIGAR
ENST00000180166	ENSG00000078579	FGF20
ENST00000180173	ENSG00000003987	MTMR7
ENST00000181383	ENSG00000080618	CPB2
ENST00000181839	ENSG00000065883	CDK13
ENST00000182290	ENSG00000064201	TSPAN32
ENST00000182527	ENSG00000065308	TRAM2
ENST00000183605	ENSG00000066405	CLDN18
ENST00000184183	ENSG00000065371	ROPN1
ENST00000184266	ENSG00000065518	NDUFB4
ENST00000184956	ENSG00000068097	HEATR6
ENST00000185150	ENSG00000068912	ERLEC1
ENST00000186436	ENSG00000075568	TMEM131
ENST00000187397	ENSG00000172995	ARPP21
ENST00000187762	ENSG00000072954	TMEM38A
ENST00000187879	ENSG00000159885	ZNF222
ENST00000188312	ENSG00000075089	ACTR6
ENST00000188790	ENSG00000078098	FAP
