	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	group
1_13462_CGATGT	-28.6269015237246	-8.75964123762969	0.3283642206213	0.664446164505457	-0.235701760941225	0.346462129530139	-0.0953511047718229	0.265923800860331	-0.0814979260917425	0.0922757538817984	0.124540492387488	0.139341387984282	-0.170196596500502	-0.120628244809353	-0.141104986463728	0.00808808363401289	0.194461786236976	0.00419746402934237	0.197117705243462	0.108821101617524	0.00719569612223533	0.0444999146660437	-0.0660345025632769	-0.13454282587261	0.853315830246736	3.24641030204076e-14	1.13450915328883e-14	-6.2380656196126e-15	-4.34895175427386e-15	3.70189989773451e-15	basal:S_cerevisiae_Carme
2_13463_TTAGGC	-29.026085447297	-9.06053763335293	0.390672879013118	0.527972836920981	0.0259495645954517	-0.155389134250669	0.0421015574077004	-0.136520209667914	-0.0638996833215823	-0.0723076457733268	-0.0313198481483941	-0.196118792361657	0.164130727825117	0.0677350278447765	0.169924658914281	-0.172803371144098	-0.136385803890404	-0.153132744996303	-0.338112290152554	-0.122560449094728	0.0357301248021563	0.0251831187306143	0.516194627449036	0.99046096393465	-0.317839543141162	3.05179601207961e-14	1.4134526882259e-14	-1.75692793646931e-14	-1.63237479089418e-15	4.68375338513738e-15	basal:S_cerevisiae_Carme
3_13464_GATCAG	-28.4752237921471	-8.79050900502457	0.290681545247658	-0.0791513234599464	0.270813602985699	-0.13346346574234	0.00613633584417319	-0.0455850566961053	0.186727234996622	-0.0460913576672081	-0.146788901278547	0.0911610561034618	-0.00414407866316303	0.0344671880776732	-0.0198653913191774	0.147338332285966	-0.0569169185686367	0.0812198402386649	0.0849785587754516	0.00409778108009669	-0.0280675336018835	-0.071625085676565	-0.483430521219773	-0.873775574563745	-0.532083804308878	3.64491423154867e-14	3.51108031537706e-15	2.48689957516035e-14	-7.77329589585207e-15	2.95249935611253e-15	basal:S_cerevisiae_Carme
7_13468_ATCACG	28.5618849537096	8.78769703019433	-0.0648232816160918	-0.204040811652915	-0.199013117916139	-0.563215157607603	-0.649202429478687	-1.59752678888714	0.726636421663582	0.299032031488872	0.532910510351661	-0.202511466625603	-0.119994207553217	0.478462653840514	-0.649900454457021	-0.759408616772412	0.364920393071252	0.0642324102094626	-0.53912950269202	0.323891758927951	-0.599117214021434	-0.377809013504155	0.132261949633024	-0.114623738370829	0.0271995956221907	3.45218645336764e-14	-9.16627884706145e-15	-1.09634523681734e-15	4.26568502742697e-15	-3.68455266297474e-15	salt:S_cerevisiae_Carme
8_13469_GCCAAT	28.5442213487152	9.14533533045835	0.0608265944888834	-0.227325315321416	-0.0943316773086961	0.0628223003931637	0.510212263720481	0.59183316257152	-0.259225141371855	-0.227557982246533	-0.263563692179967	-0.046576051907026	0.214895182162864	-0.0180591968766039	0.196578358049901	0.415433062353123	-0.0805801617629338	-0.180449409526168	0.471971879200723	0.146788529297586	0.505023030224693	-0.296759366072707	-0.94069135689694	0.50732457641722	-0.00825553798878716	3.54902739141405e-14	-1.28369537222284e-14	1.09148801108461e-14	4.90926743701436e-15	-2.17187379192296e-15	salt:S_cerevisiae_Carme
9_13470_ACTTGA	29.0221044607438	8.6776555153545	-1.00572195775483	-0.681901550992149	0.232283388584897	0.442783327677296	0.186103377278139	0.921875091819331	-0.508740905875041	-0.0453507996836193	-0.215778561132245	0.214703866806554	-0.0846910272711092	-0.441977428077002	0.444367815275725	0.361352509643422	-0.285499295086265	0.183932440045001	0.123173649624932	-0.461038721828427	0.0792358964742106	0.676510431856771	0.841699803597906	-0.374843401544697	-0.0223365404300844	3.44079690954568e-14	-3.12944115066216e-15	-2.51187959321442e-14	6.97879254385469e-15	-5.25621213220973e-16	salt:S_cerevisiae_Carme
34_17727_TAGCTT	-30.8499579779168	1.69212415088002	-1.01388148464461	-2.91696226619257	-0.893135461238164	-2.21785300067111	0.0389022615295465	0.0343208001646191	0.329190106338418	0.331204918578198	-0.490480296228174	0.039548466203761	-0.248441939996429	-0.804635110431108	-0.00962482475613528	0.256567234888533	-0.0726551769374578	-0.240417589214415	-0.797533039894466	-0.0671766115084855	-0.606636763262134	0.791282771523699	-0.418279874369148	0.133010447270881	0.0513598755836052	-9.21235743939208e-15	1.16573417585641e-15	-1.88182802673964e-14	-3.68802210992669e-15	-4.90059381963448e-15	basal:S_cerevisiae_H2A_T77
35_17728_ACTTGA	-30.5057290673311	1.18782391213906	-0.680810002567385	-1.9698280806201	-1.20278751255949	-1.31062285341051	0.57743682146442	0.155903096746624	-0.218887333575827	0.0686309955986775	0.226118466740228	0.486292872365921	0.470005080872175	0.672155418430722	-0.841124976129503	-0.133374463156431	-1.00314364868561	0.151687714047136	0.788138574385718	-0.57168751344385	-0.100334530922057	-0.587672330370012	0.207479754060084	-0.00946285097297837	0.0337141317973713	-7.90933616344469e-15	1.5404344466674e-15	-1.47798440153224e-14	-3.12770642718618e-15	-4.99773833428918e-15	basal:S_cerevisiae_H2A_T77
36_17729_GAGTGG	-29.1930074528045	1.68106373136717	-1.58528328458817	-0.456777293555437	-2.17538857200587	-1.19406257981818	-1.77670919862243	0.427594935914554	-0.0847323972797006	-0.325322480683141	0.12157572073303	-0.530219782927651	-0.341044011449319	0.190515186967215	0.806143599106643	-0.28574609494291	0.844830769338165	0.18083375525858	0.232104947963013	0.570804730287312	0.843237970438751	-0.236651076562854	0.24948703338526	-0.10906756113786	-0.0520707342128156	-8.81765363849873e-15	1.99840144432528e-15	-2.10803596800702e-14	-2.62463661915291e-15	-5.74887359938714e-15	basal:S_cerevisiae_H2A_T77
37_17730_GGCTAC	31.6159883788817	-1.68718489779547	0.189517771150424	3.23881566196212	0.197688240171519	1.81295219497587	-1.46762414563964	-1.00841244425699	-0.619315376321592	1.00231676868272	0.679208839273282	0.42954192141521	0.521834108443885	-0.51451506521439	-0.228445175245253	0.657347558038403	0.465214700093825	0.487379679956064	0.0746273519627964	-0.50976444886235	0.00867685559561136	0.0726054176924763	-0.133007059903347	0.113774737721079	-0.0672348083958543	-3.05311331771918e-15	-2.28775332011821e-14	1.38847267017184e-14	4.2110412379337e-15	-1.17700987845026e-14	salt:S_cerevisiae_H2A_T77
