GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0005975	carbohydrate metabolic process	5.542535811957891e-20	5.542535811957891e-20	+1	YAL017W,YBR001C,YBR018C,YBR053C,YBR056W,YBR126C,YBR149W,YBR298C,YCL039W,YCL040W,YDL021W,YDL022W,YDR001C,YDR074W,YDR255C,YDR368W,YDR516C,YEL011W,YEL012W,YER054C,YER062C,YER065C,YER096W,YFR003C,YFR015C,YFR017C,YFR053C,YGL059W,YGL062W,YGL156W,YGL227W,YGR043C,YGR066C,YGR143W,YGR194C,YGR248W,YGR256W,YGR289C,YHR104W,YIL017C,YIL045W,YIL053W,YIL097W,YIL099W,YIL107C,YIL155C,YIR007W,YJL052W,YJL089W,YJL103C,YJL153C,YJL155C,YJR096W,YKL035W,YKL085W,YKR058W,YLL026W,YLR081W,YLR174W,YLR258W,YLR345W,YLR446W,YML070W,YML100W,YMR105C,YMR135C,YMR196W,YMR261C,YMR280C,YMR323W,YNR034W,YOL032W,YOR062C,YOR120W,YOR178C,YOR245C,YOR347C,YPL219W,YPR026W,YPR160W,YPR184W
GO:0044262	cellular carbohydrate metabolic process	5.562882528773345e-13	5.562882528773345e-13	+1	YAL017W,YBR001C,YBR056W,YBR126C,YBR149W,YBR298C,YCL039W,YDR001C,YDR074W,YDR255C,YEL011W,YEL012W,YER054C,YER062C,YER065C,YER096W,YFR003C,YFR015C,YFR017C,YGL156W,YGL227W,YGR066C,YGR143W,YGR256W,YGR289C,YIL017C,YIL045W,YIL053W,YIL097W,YIL099W,YIL155C,YJL089W,YJL103C,YJL153C,YKL035W,YKR058W,YLL026W,YLR174W,YLR258W,YML070W,YML100W,YMR105C,YMR135C,YMR261C,YOL032W,YOR120W,YOR178C,YOR245C,YPL219W,YPR026W,YPR160W,YPR184W
GO:0006091	generation of precursor metabolites and energy	5.5552067788064455e-12	5.5552067788064455e-12	+1	YAL017W,YBR117C,YCL040W,YDL021W,YDL085W,YDR178W,YDR231C,YDR516C,YEL011W,YEL024W,YEL039C,YER054C,YER065C,YER067W,YFR003C,YFR015C,YFR017C,YFR049W,YFR053C,YGL237C,YGR043C,YGR248W,YGR256W,YHR001W-A,YIL045W,YIL057C,YIL099W,YIL155C,YJL052W,YJL103C,YJL166W,YKL035W,YKL085W,YKL093W,YKL148C,YKR046C,YKR058W,YLL041C,YLR164W,YLR174W,YLR258W,YLR345W,YLR446W,YML070W,YML120C,YMR030W,YMR081C,YMR105C,YMR315W,YMR323W,YNR001C,YNR034W,YOR065W,YOR178C,YOR347C,YOR374W,YPL061W,YPL219W,YPR155C,YPR160W,YPR184W
GO:0016051	carbohydrate biosynthetic process	4.446414413269101e-9	4.446414413269101e-9	+1	YAL017W,YBR053C,YBR126C,YCL039W,YDR074W,YDR255C,YEL011W,YEL012W,YER062C,YER096W,YFR015C,YFR017C,YGL062W,YGL227W,YGR066C,YGR143W,YIL017C,YIL045W,YIL053W,YIL097W,YJL052W,YJL089W,YJL103C,YJL153C,YKL035W,YKR058W,YLR258W,YML100W,YMR105C,YMR135C,YMR261C,YOR178C,YPL219W,YPR184W
GO:0005996	monosaccharide metabolic process	6.1180328179074655e-9	6.1180328179074655e-9	+1	YAL017W,YBR018C,YBR053C,YCL039W,YCL040W,YDR255C,YDR368W,YEL012W,YFR017C,YFR053C,YGL059W,YGL062W,YGL156W,YGL227W,YGR066C,YGR194C,YHR104W,YIL017C,YIL045W,YIL097W,YIL107C,YJL052W,YJL089W,YJL103C,YJL155C,YJR096W,YLR081W,YLR345W,YMR105C,YMR135C,YOR120W,YPL219W
GO:0009056	catabolic process	3.1784469927196016e-8	3.1784469927196016e-8	+1	YAL005C,YBL075C,YBL078C,YBR001C,YBR006W,YBR018C,YBR056W,YBR128C,YBR139W,YBR177C,YBR183W,YBR212W,YBR280C,YCL039W,YCL040W,YCR068W,YDL019C,YDL021W,YDL022W,YDL079C,YDL113C,YDL149W,YDR001C,YDR058C,YDR069C,YDR216W,YDR255C,YDR293C,YDR306C,YDR330W,YDR358W,YDR368W,YDR380W,YDR435C,YDR490C,YDR516C,YDR530C,YDR533C,YEL012W,YEL060C,YER035W,YER037W,YFL016C,YFR017C,YFR053C,YGL010W,YGL156W,YGL180W,YGL227W,YGL259W,YGR019W,YGR066C,YGR087C,YGR088W,YGR122W,YGR194C,YGR223C,YGR225W,YGR289C,YHR037W,YHR082C,YHR104W,YHR137W,YHR139C,YHR171W,YHR195W,YHR202W,YIL007C,YIL017C,YIL097W,YIL099W,YIL155C,YIL160C,YIR007W,YIR032C,YIR039C,YJL048C,YJL052W,YJL083W,YJL164C,YJL185C,YJL213W,YJR019C,YJR091C,YJR096W,YKL034W,YKL037W,YKL103C,YKL124W,YKL133C,YKL188C,YKR089C,YKR098C,YLR120C,YLR270W,YLR284C,YLR312C,YLR345W,YLR356W,YLR417W,YLR438W,YLR446W,YML004C,YML070W,YMR105C,YMR110C,YMR135C,YMR169C,YMR170C,YMR174C,YMR250W,YMR304W,YMR323W,YNL007C,YNL045W,YNL098C,YNL159C,YNL160W,YNL223W,YNL242W,YNL274C,YNR001C,YNR007C,YOL013C,YOL082W,YOL083W,YOR019W,YOR036W,YOR062C,YOR120W,YOR152C,YOR173W,YOR347C,YPL061W,YPL100W,YPL123C,YPL154C,YPL166W,YPR026W,YPR160W,YPR184W
GO:0006979	response to oxidative stress	4.5116519202059625e-8	4.5116519202059625e-8	+1	YBL064C,YBR006W,YBR014C,YBR046C,YBR126C,YCL035C,YDL124W,YDR368W,YDR453C,YDR513W,YDR533C,YFL014W,YFR014C,YGL158W,YGR023W,YGR043C,YGR088W,YHR104W,YIL056W,YIL101C,YJR096W,YKL026C,YKL150W,YLR225C,YLR270W,YLR438W,YML127W,YMR037C,YMR173W,YMR250W,YMR291W,YNL036W,YOL016C,YOL052C-A,YOR120W,YOR162C,YOR173W,YPL196W
GO:0062197	cellular response to chemical stress	8.736449013963982e-7	8.736449013963982e-7	+1	YAL028W,YBL064C,YBR006W,YBR014C,YBR046C,YBR126C,YCL035C,YDL022W,YDL079C,YDL124W,YDR043C,YDR368W,YDR453C,YDR513W,YDR533C,YFL014W,YFR014C,YGL158W,YGR023W,YGR043C,YGR088W,YHR104W,YIL056W,YIL101C,YJR096W,YKL026C,YKL150W,YLR006C,YML127W,YMR037C,YMR139W,YMR173W,YMR250W,YMR291W,YNL036W,YOL016C,YOL052C-A,YOR120W,YOR162C,YPL196W
GO:0019318	hexose metabolic process	9.902276599182713e-7	9.902276599182713e-7	+1	YAL017W,YBR018C,YCL039W,YCL040W,YDR255C,YEL012W,YFR017C,YFR053C,YGL059W,YGL062W,YGL156W,YGL227W,YGR066C,YHR104W,YIL017C,YIL045W,YIL097W,YIL107C,YJL052W,YJL089W,YJL103C,YJL155C,YLR081W,YLR345W,YMR105C,YMR135C,YPL219W
GO:0015980	energy derivation by oxidation of organic compounds	0.0000010049765910194165	0.0000010049765910194165	+1	YAL017W,YDL085W,YDR178W,YDR231C,YEL011W,YEL024W,YEL039C,YER054C,YER065C,YER067W,YFR003C,YFR015C,YFR017C,YFR049W,YGL237C,YHR001W-A,YIL045W,YIL057C,YIL099W,YIL155C,YJL166W,YKL035W,YKL085W,YKL093W,YKL148C,YKR046C,YKR058W,YLL041C,YLR164W,YLR174W,YLR258W,YML070W,YML120C,YMR030W,YMR081C,YMR105C,YNR001C,YOR065W,YOR178C,YPL219W,YPR155C,YPR160W,YPR184W
