GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0042254	ribosome biogenesis	1.1031967943782836e-138	1.1031967943782836e-138	+1	YAL025C,YAL035W,YAL059W,YBL004W,YBL018C,YBR142W,YBR154C,YBR181C,YBR247C,YBR267W,YCL054W,YCL059C,YCR047C,YCR057C,YCR072C,YDL014W,YDL031W,YDL036C,YDL060W,YDL063C,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR060W,YDR083W,YDR087C,YDR091C,YDR101C,YDR161W,YDR299W,YDR312W,YDR324C,YDR339C,YDR361C,YDR365C,YDR398W,YDR412W,YDR418W,YDR447C,YDR449C,YDR478W,YDR496C,YEL026W,YEL054C,YER002W,YER006W,YER056C-A,YER082C,YER102W,YER126C,YER127W,YER131W,YFL002C,YFR001W,YGL029W,YGL078C,YGL097W,YGL099W,YGL111W,YGL120C,YGL171W,YGR030C,YGR081C,YGR085C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR148C,YGR158C,YGR159C,YGR162W,YGR245C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL001W,YHL033C,YHL039W,YHR040W,YHR052W,YHR062C,YHR065C,YHR066W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR143W-A,YHR148W,YHR169W,YHR170W,YHR196W,YHR197W,YIL019W,YIL069C,YIL091C,YIL096C,YIL110W,YIR012W,YIR026C,YJL010C,YJL033W,YJL050W,YJL069C,YJL109C,YJL122W,YJL148W,YJL191W,YJR002W,YJR041C,YJR063W,YJR067C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL143W,YKL156W,YKL172W,YKR024C,YKR057W,YKR060W,YKR081C,YLL008W,YLL011W,YLL034C,YLL035W,YLR002C,YLR009W,YLR051C,YLR063W,YLR068W,YLR074C,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR221C,YLR222C,YLR276C,YLR336C,YLR344W,YLR397C,YLR409C,YLR435W,YLR441C,YLR448W,YML026C,YML063W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR269W,YMR290C,YNL002C,YNL022C,YNL061W,YNL075W,YNL096C,YNL110C,YNL112W,YNL113W,YNL124W,YNL132W,YNL178W,YNL182C,YNL207W,YNL221C,YNL227C,YNL248C,YNL282W,YNL308C,YNR024W,YNR038W,YNR046W,YNR053C,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL121C,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR206W,YOR210W,YOR224C,YOR234C,YOR243C,YOR272W,YOR287C,YOR293W,YOR294W,YOR310C,YOR340C,YOR341W,YPL012W,YPL043W,YPL081W,YPL082C,YPL090C,YPL093W,YPL126W,YPL146C,YPL198W,YPL211W,YPL217C,YPL226W,YPL266W,YPR010C,YPR016C,YPR041W,YPR110C,YPR112C,YPR137W,YPR143W,YPR144C,YPR187W
GO:0022613	ribonucleoprotein complex biogenesis	1.426244372924562e-120	1.426244372924562e-120	+1	YAL025C,YAL035W,YAL059W,YBL004W,YBL018C,YBR079C,YBR142W,YBR154C,YBR181C,YBR247C,YBR267W,YCL054W,YCL059C,YCR047C,YCR057C,YCR072C,YDL014W,YDL031W,YDL036C,YDL060W,YDL063C,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR060W,YDR083W,YDR087C,YDR091C,YDR101C,YDR161W,YDR299W,YDR312W,YDR324C,YDR339C,YDR361C,YDR365C,YDR398W,YDR412W,YDR418W,YDR447C,YDR449C,YDR478W,YDR496C,YEL026W,YEL054C,YER002W,YER006W,YER025W,YER056C-A,YER082C,YER102W,YER126C,YER127W,YER131W,YFL002C,YFL023W,YFR001W,YGL029W,YGL078C,YGL097W,YGL099W,YGL111W,YGL120C,YGL171W,YGR030C,YGR081C,YGR085C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR148C,YGR158C,YGR159C,YGR162W,YGR245C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL001W,YHL033C,YHL039W,YHR040W,YHR052W,YHR062C,YHR065C,YHR066W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR143W-A,YHR148W,YHR169W,YHR170W,YHR196W,YHR197W,YIL019W,YIL069C,YIL091C,YIL096C,YIL110W,YIR012W,YIR026C,YJL010C,YJL033W,YJL050W,YJL069C,YJL109C,YJL122W,YJL148W,YJL191W,YJR002W,YJR007W,YJR041C,YJR063W,YJR067C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL143W,YKL156W,YKL172W,YKR024C,YKR057W,YKR060W,YKR081C,YLL008W,YLL011W,YLL034C,YLL035W,YLR002C,YLR009W,YLR051C,YLR063W,YLR068W,YLR074C,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR221C,YLR222C,YLR276C,YLR336C,YLR344W,YLR397C,YLR409C,YLR435W,YLR441C,YLR448W,YML026C,YML063W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR269W,YMR290C,YNL002C,YNL022C,YNL061W,YNL075W,YNL096C,YNL110C,YNL112W,YNL113W,YNL124W,YNL132W,YNL178W,YNL182C,YNL207W,YNL221C,YNL227C,YNL248C,YNL282W,YNL308C,YNR024W,YNR038W,YNR046W,YNR053C,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL121C,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR206W,YOR210W,YOR224C,YOR234C,YOR243C,YOR272W,YOR287C,YOR293W,YOR294W,YOR310C,YOR340C,YOR341W,YPL012W,YPL043W,YPL081W,YPL082C,YPL090C,YPL093W,YPL126W,YPL146C,YPL198W,YPL211W,YPL217C,YPL226W,YPL266W,YPR010C,YPR016C,YPR041W,YPR110C,YPR112C,YPR137W,YPR143W,YPR144C,YPR163C,YPR187W
GO:0034470	ncRNA processing	2.085304678801743e-117	2.085304678801743e-117	+1	YAL025C,YAL035W,YAR008W,YBL004W,YBL018C,YBL024W,YBL071W-A,YBR061C,YBR142W,YBR181C,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL031W,YDL036C,YDL051W,YDL060W,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL201W,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR045C,YDR083W,YDR087C,YDR091C,YDR120C,YDR165W,YDR299W,YDR324C,YDR339C,YDR365C,YDR398W,YDR412W,YDR449C,YDR478W,YEL026W,YER002W,YER006W,YER082C,YER102W,YER126C,YER127W,YFL001W,YFL002C,YFR001W,YGL029W,YGL078C,YGL111W,YGL120C,YGL169W,YGL171W,YGL236C,YGR030C,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR158C,YGR159C,YGR200C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL033C,YHR052W,YHR062C,YHR065C,YHR066W,YHR070W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR148W,YHR169W,YHR196W,YHR197W,YIL008W,YIL019W,YIL069C,YIL091C,YIL096C,YJL010C,YJL033W,YJL050W,YJL069C,YJL098W,YJL109C,YJL125C,YJL191W,YJR002W,YJR041C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL110C,YKL156W,YKL172W,YKR024C,YKR056W,YKR057W,YKR060W,YKR079C,YKR081C,YLL008W,YLL011W,YLL035W,YLR002C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR276C,YLR384C,YLR401C,YLR405W,YLR409C,YLR435W,YLR441C,YML014W,YML026C,YML063W,YML080W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR259C,YMR290C,YMR312W,YNL002C,YNL022C,YNL061W,YNL062C,YNL075W,YNL096C,YNL110C,YNL112W,YNL119W,YNL124W,YNL132W,YNL182C,YNL207W,YNL221C,YNL227C,YNL282W,YNL292W,YNL299W,YNL308C,YNR015W,YNR024W,YNR038W,YNR046W,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL093W,YOL124C,YOL125W,YOL141W,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR243C,YOR272W,YOR287C,YOR294W,YOR310C,YPL012W,YPL043W,YPL081W,YPL082C,YPL086C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL183C,YPL198W,YPL207W,YPL211W,YPL212C,YPL217C,YPL266W,YPR016C,YPR112C,YPR137W,YPR143W,YPR144C
GO:0034660	ncRNA metabolic process	2.5408265367083225e-108	2.5408265367083225e-108	+1	YAL025C,YAL035W,YAR008W,YBL004W,YBL018C,YBL024W,YBL071W-A,YBL076C,YBR061C,YBR142W,YBR181C,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL031W,YDL036C,YDL051W,YDL060W,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL201W,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR045C,YDR083W,YDR087C,YDR091C,YDR120C,YDR165W,YDR299W,YDR324C,YDR339C,YDR341C,YDR365C,YDR398W,YDR412W,YDR449C,YDR478W,YEL026W,YER002W,YER006W,YER082C,YER102W,YER126C,YER127W,YFL001W,YFL002C,YFR001W,YGL029W,YGL078C,YGL111W,YGL120C,YGL169W,YGL171W,YGL236C,YGR030C,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR158C,YGR159C,YGR200C,YGR251W,YGR264C,YGR271C-A,YGR280C,YGR285C,YHL033C,YHR020W,YHR040W,YHR052W,YHR062C,YHR065C,YHR066W,YHR070W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR148W,YHR169W,YHR196W,YHR197W,YIL008W,YIL019W,YIL069C,YIL079C,YIL091C,YIL096C,YJL010C,YJL033W,YJL050W,YJL069C,YJL098W,YJL109C,YJL125C,YJL191W,YJR002W,YJR041C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL110C,YKL156W,YKL172W,YKR024C,YKR056W,YKR057W,YKR060W,YKR079C,YKR081C,YLL008W,YLL011W,YLL035W,YLR002C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR276C,YLR384C,YLR401C,YLR405W,YLR409C,YLR435W,YLR441C,YML014W,YML026C,YML063W,YML080W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR259C,YMR290C,YMR312W,YNL002C,YNL022C,YNL061W,YNL062C,YNL075W,YNL096C,YNL110C,YNL112W,YNL119W,YNL124W,YNL132W,YNL182C,YNL207W,YNL221C,YNL227C,YNL247W,YNL282W,YNL292W,YNL299W,YNL308C,YNR015W,YNR024W,YNR038W,YNR046W,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL093W,YOL097C,YOL124C,YOL125W,YOL141W,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR243C,YOR272W,YOR287C,YOR294W,YOR310C,YOR335C,YPL012W,YPL043W,YPL081W,YPL082C,YPL086C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL160W,YPL183C,YPL198W,YPL207W,YPL211W,YPL212C,YPL217C,YPL266W,YPR016C,YPR112C,YPR137W,YPR143W,YPR144C
GO:0006364	rRNA processing	7.615962559091422e-108	7.615962559091422e-108	+1	YAL025C,YAL035W,YBL004W,YBL018C,YBR142W,YBR181C,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL031W,YDL036C,YDL060W,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR083W,YDR087C,YDR091C,YDR299W,YDR324C,YDR339C,YDR365C,YDR398W,YDR412W,YDR449C,YDR478W,YEL026W,YER002W,YER006W,YER082C,YER102W,YER126C,YER127W,YFL002C,YFR001W,YGL029W,YGL078C,YGL111W,YGL120C,YGL171W,YGR030C,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR158C,YGR159C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL033C,YHR052W,YHR062C,YHR065C,YHR066W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR148W,YHR169W,YHR196W,YHR197W,YIL019W,YIL069C,YIL091C,YIL096C,YJL010C,YJL033W,YJL050W,YJL069C,YJL109C,YJL191W,YJR002W,YJR041C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL156W,YKL172W,YKR024C,YKR057W,YKR060W,YKR081C,YLL008W,YLL011W,YLL035W,YLR002C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR276C,YLR409C,YLR435W,YLR441C,YML026C,YML063W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR290C,YNL002C,YNL022C,YNL061W,YNL075W,YNL096C,YNL110C,YNL112W,YNL124W,YNL132W,YNL182C,YNL207W,YNL221C,YNL227C,YNL282W,YNL308C,YNR024W,YNR038W,YNR046W,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR243C,YOR272W,YOR287C,YOR294W,YOR310C,YPL012W,YPL043W,YPL081W,YPL082C,YPL090C,YPL093W,YPL126W,YPL146C,YPL198W,YPL211W,YPL217C,YPL266W,YPR016C,YPR112C,YPR137W,YPR143W,YPR144C
GO:0016072	rRNA metabolic process	1.1633578128986606e-103	1.1633578128986606e-103	+1	YAL025C,YAL035W,YBL004W,YBL018C,YBR142W,YBR181C,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YDL014W,YDL031W,YDL036C,YDL060W,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR083W,YDR087C,YDR091C,YDR299W,YDR324C,YDR339C,YDR365C,YDR398W,YDR412W,YDR449C,YDR478W,YEL026W,YER002W,YER006W,YER082C,YER102W,YER126C,YER127W,YFL002C,YFR001W,YGL029W,YGL078C,YGL111W,YGL120C,YGL171W,YGR030C,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR158C,YGR159C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL033C,YHR052W,YHR062C,YHR065C,YHR066W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR148W,YHR169W,YHR196W,YHR197W,YIL019W,YIL069C,YIL079C,YIL091C,YIL096C,YJL010C,YJL033W,YJL050W,YJL069C,YJL109C,YJL191W,YJR002W,YJR041C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL156W,YKL172W,YKR024C,YKR057W,YKR060W,YKR081C,YLL008W,YLL011W,YLL035W,YLR002C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR276C,YLR409C,YLR435W,YLR441C,YML026C,YML063W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR290C,YNL002C,YNL022C,YNL061W,YNL075W,YNL096C,YNL110C,YNL112W,YNL124W,YNL132W,YNL182C,YNL207W,YNL221C,YNL227C,YNL282W,YNL299W,YNL308C,YNR024W,YNR038W,YNR046W,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR243C,YOR272W,YOR287C,YOR294W,YOR310C,YPL012W,YPL043W,YPL081W,YPL082C,YPL090C,YPL093W,YPL126W,YPL146C,YPL198W,YPL211W,YPL217C,YPL266W,YPR016C,YPR112C,YPR137W,YPR143W,YPR144C
GO:0006396	RNA processing	8.652769606391355e-78	8.652769606391355e-78	+1	YAL025C,YAL035W,YAR008W,YBL004W,YBL018C,YBL024W,YBL071W-A,YBR061C,YBR142W,YBR181C,YBR247C,YCL054W,YCL059C,YCR047C,YCR057C,YCR063W,YDL014W,YDL031W,YDL036C,YDL051W,YDL060W,YDL083C,YDL112W,YDL136W,YDL148C,YDL153C,YDL166C,YDL201W,YDL208W,YDL213C,YDL229W,YDR021W,YDR025W,YDR045C,YDR083W,YDR087C,YDR091C,YDR120C,YDR165W,YDR299W,YDR324C,YDR339C,YDR365C,YDR398W,YDR412W,YDR449C,YDR478W,YEL026W,YER002W,YER006W,YER082C,YER102W,YER126C,YER127W,YFL001W,YFL002C,YFR001W,YGL029W,YGL078C,YGL111W,YGL120C,YGL169W,YGL171W,YGL236C,YGR030C,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR158C,YGR159C,YGR200C,YGR251W,YGR271C-A,YGR280C,YGR285C,YHL033C,YHR052W,YHR062C,YHR065C,YHR066W,YHR070W,YHR072W-A,YHR085W,YHR088W,YHR089C,YHR148W,YHR169W,YHR196W,YHR197W,YIL008W,YIL019W,YIL069C,YIL091C,YIL096C,YIL131C,YJL010C,YJL033W,YJL050W,YJL069C,YJL098W,YJL109C,YJL125C,YJL191W,YJR002W,YJR041C,YKL009W,YKL014C,YKL078W,YKL082C,YKL099C,YKL110C,YKL144C,YKL156W,YKL172W,YKR024C,YKR056W,YKR057W,YKR060W,YKR079C,YKR081C,YLL008W,YLL011W,YLL035W,YLR002C,YLR051C,YLR063W,YLR068W,YLR106C,YLR129W,YLR175W,YLR186W,YLR196W,YLR197W,YLR222C,YLR276C,YLR384C,YLR401C,YLR405W,YLR409C,YLR435W,YLR441C,YML014W,YML026C,YML063W,YML080W,YML093W,YMR014W,YMR049C,YMR093W,YMR128W,YMR131C,YMR229C,YMR239C,YMR259C,YMR290C,YMR312W,YNL002C,YNL022C,YNL061W,YNL062C,YNL075W,YNL096C,YNL110C,YNL112W,YNL119W,YNL124W,YNL132W,YNL182C,YNL207W,YNL221C,YNL227C,YNL282W,YNL292W,YNL299W,YNL308C,YNR015W,YNR024W,YNR038W,YNR046W,YNR054C,YOL010W,YOL022C,YOL041C,YOL077C,YOL080C,YOL093W,YOL124C,YOL125W,YOL141W,YOL144W,YOR001W,YOR004W,YOR048C,YOR056C,YOR063W,YOR078W,YOR119C,YOR145C,YOR243C,YOR272W,YOR287C,YOR294W,YOR310C,YPL012W,YPL043W,YPL081W,YPL082C,YPL086C,YPL090C,YPL093W,YPL126W,YPL146C,YPL157W,YPL183C,YPL198W,YPL207W,YPL211W,YPL212C,YPL217C,YPL266W,YPR016C,YPR112C,YPR137W,YPR143W,YPR144C
GO:0042274	ribosomal small subunit biogenesis	1.2316832135894055e-64	1.2316832135894055e-64	+1	YAL035W,YBL004W,YBR181C,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL083C,YDL148C,YDL153C,YDL166C,YDL213C,YDR021W,YDR025W,YDR299W,YDR324C,YDR339C,YDR398W,YDR447C,YDR449C,YEL026W,YER082C,YER102W,YER127W,YFR001W,YGL120C,YGL171W,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR159C,YGR251W,YGR271C-A,YHR065C,YHR148W,YHR169W,YHR196W,YIL019W,YIL069C,YIL091C,YJL010C,YJL069C,YJL109C,YJL191W,YJR002W,YKL078W,YKL082C,YKL099C,YKL143W,YKL156W,YKR057W,YKR060W,YLL011W,YLR051C,YLR068W,YLR129W,YLR186W,YLR222C,YLR336C,YLR409C,YLR435W,YLR441C,YML026C,YML063W,YML093W,YMR014W,YMR093W,YMR128W,YMR229C,YMR269W,YMR290C,YNL075W,YNL096C,YNL132W,YNL207W,YNL308C,YNR046W,YNR054C,YOL010W,YOL022C,YOL121C,YOR004W,YOR056C,YOR078W,YOR119C,YOR145C,YOR287C,YOR293W,YOR294W,YOR310C,YPL012W,YPL081W,YPL090C,YPL126W,YPL217C,YPL226W,YPL266W,YPR112C,YPR144C
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4.841415201476332e-61	4.841415201476332e-61	+1	YAL035W,YBL004W,YBR181C,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL083C,YDL148C,YDL153C,YDL166C,YDR021W,YDR025W,YDR299W,YDR324C,YDR339C,YDR398W,YDR449C,YEL026W,YER082C,YER102W,YER127W,YFR001W,YGL120C,YGL171W,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR251W,YGR271C-A,YHR065C,YHR169W,YHR196W,YIL019W,YIL069C,YIL091C,YJL010C,YJL069C,YJL109C,YJL191W,YJR002W,YKL078W,YKL099C,YKL156W,YKR057W,YKR060W,YLL011W,YLR051C,YLR068W,YLR129W,YLR186W,YLR222C,YLR435W,YLR441C,YML026C,YML063W,YML093W,YMR093W,YMR128W,YMR229C,YMR290C,YNL207W,YNL308C,YNR054C,YOL010W,YOR004W,YOR056C,YOR078W,YOR119C,YOR145C,YOR287C,YOR294W,YOR310C,YPL012W,YPL081W,YPL090C,YPL126W,YPL217C,YPL266W,YPR112C,YPR144C
GO:0030490	maturation of SSU-rRNA	1.723051939590041e-59	1.723051939590041e-59	+1	YAL035W,YBL004W,YBR181C,YBR247C,YCL059C,YCR047C,YCR057C,YDL060W,YDL083C,YDL148C,YDL153C,YDL166C,YDR021W,YDR025W,YDR299W,YDR324C,YDR339C,YDR398W,YDR449C,YEL026W,YER082C,YER102W,YER127W,YFR001W,YGL120C,YGL171W,YGR081C,YGR090W,YGR103W,YGR118W,YGR128C,YGR145W,YGR251W,YGR271C-A,YHR065C,YHR169W,YHR196W,YIL019W,YIL069C,YIL091C,YJL010C,YJL069C,YJL109C,YJL191W,YJR002W,YKL078W,YKL099C,YKL156W,YKR057W,YKR060W,YLL011W,YLR051C,YLR068W,YLR129W,YLR186W,YLR222C,YLR435W,YLR441C,YML026C,YML063W,YML093W,YMR014W,YMR093W,YMR128W,YMR229C,YMR290C,YNL132W,YNL207W,YNL308C,YNR046W,YNR054C,YOL010W,YOL022C,YOR004W,YOR056C,YOR078W,YOR119C,YOR145C,YOR287C,YOR294W,YOR310C,YPL012W,YPL081W,YPL090C,YPL126W,YPL217C,YPL266W,YPR112C,YPR144C
