gene	comName	lfc_interaction	padj_interaction	log2FoldChange_Stress_Vs_NoStress_WT	log2FoldChange_Stress_Vs_NoStress_KO	padj_Stress_Vs_NoStress_WT	padj_Stress_Vs_NoStress_KO	stressGene	mutantDep	04NB70_02834AAA_TTAACT	05NB70_02835AAA_TGCACG	06NB70_02836AAA_TATGTC	07NB70_02837AAA_CCTAAG	08NB70_02838AAA_GTGTAG	09NB70_02839AAA_GGAGGT	01NB70_02831AAA_TCAGGA	02NB70_02832AAA_GATCAC	03NB70_02833AAA_GTCAGG	10NB70_02840AAA_GGCTGC	11NB70_02841AAA_TGTGCA	12NB70_02842AAA_CCGCAA
12	YDL239C	ADY3	-0.472186306157403	1	1.72666053826716	1.2466370907743	0.0334643450046867	1	Upregulated	-	262.144121875796	106.252399652267	345.817425547533	120.096149424013	239.516099703833	102.467755772863	81.4331644243699	293.248864000008	80.4767551369962	270.997118921348	123.492971966504	322.163196333006
17	YDL234C	GYP7	-0.51750078431075	1	1.82946493819409	1.31082310731467	0.000180739833276144	0.127929062377846	Upregulated	-	1459.60137424866	341.23366811401	1170.25668721408	425.558094698134	971.214302328482	486.721839921098	355.785373139807	1219.91527424003	377.62169718129	1139.85557404764	392.669059299742	1158.00595916933
24	YDL227C	HO	1.76459021599923	3.65275263566732e-07	-2.85690944773342	-1.08947131607439	1.22153010157938e-12	1	Downregulated	Less downregulated	79.0706454571014	504.698898348267	56.5404916294445	472.552240124922	209.459177388058	495.260819568836	553.551629598991	69.2067319040018	422.50296446923	205.123973091236	486.253577118108	275.39757105886
28	YDL223C	HBT1	-5.80435150625951	2.95782752965554e-107	6.28993170739047	0.480242563837901	8.4986091262123e-110	1	Upregulated	Less upregulated	13003.2032628282	239.0678992176	16565.0491522731	286.316182322466	373.832971302453	280.566474139981	156.080231813376	14829.0085547524	165.596399993434	423.589342806292	251.809888150449	358.536460435119
29	YDL222C	FMP45	-5.18798320433312	2.94904362689182e-37	6.61607037977773	1.42504790035269	3.45366414639533e-71	0.405195240306516	Upregulated	Less upregulated	3531.82216375053	64.3644344047385	7154.34453385599	52.2157171408753	183.159370361754	64.6522744757348	48.4721216811726	6144.15019852816	57.2623065397858	146.755362862022	56.9225417658102	141.039187334726
35	YDL216C	RRI1	-0.986310159484804	0.352230441988203	2.04484477308572	1.05419071111451	0.0116362408827336	1	Upregulated	-	306.309707626609	61.2994613378462	251.144974447068	72.2317420448776	160.616678624923	92.7089218897329	69.7998552208885	168.911345664004	41.7860074749788	166.767457797753	77.1831074790647	178.154762949128
37	YDL214C	PRR2	-3.19199716838081	4.89153080468352e-13	5.64558570574664	2.44594839916018	7.49318502226483e-58	1.78892577236525e-08	Upregulated	Less upregulated	2266.69183643691	49.0395690702769	2846.74800878482	62.6588605690504	276.147973776184	37.8154812971279	45.5637943803022	1670.34552934404	38.6907476620174	290.17537656809	37.626764896044	204.877977391497
44	YDL208W	NHP2	0.745081653941225	0.661727525170434	-2.38604824293965	-1.64325776079528	1.74044638580142e-06	1.14272438474072e-06	Downregulated	-	724.458075944794	2320.18461163748	422.081344489574	2295.75103029382	916.73613063114	2815.42357528294	3247.63215263856	480.928136960012	2875.49636624113	735.444488888089	2436.09182980798	795.015629660482
46	YDL206W		-2.14457465478952	1.45302177506606e-07	2.53149941037574	0.381258793454796	8.72683288323995e-07	1	Upregulated	Less upregulated	2801.66530254757	752.961716766544	4407.52855678833	507.362718218839	618.984743940493	425.729128151537	499.262853316078	4856.20118784013	817.148590621808	562.840170067415	469.852166778806	671.04960710838
48	YDL204W	RTN2	-4.32853840831377	7.7871170402277e-55	5.57381742594794	1.24095910591155	3.04575817736463e-97	0.836715081403658	Upregulated	Less upregulated	6252.27977636918	169.595176368041	8141.83079464001	215.824964182285	489.364266453713	250.070118255201	143.477480176271	6925.36517222418	128.453282237898	580.350753136179	176.55635835836	462.460072155444
