name	comName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YDL248W	COS7	86.1276958112	-0.3103282117872	0.190900254535088	0	1	1
YDL247W-A		0	NA	NA	NA	NA	NA
YDL247W	MPH2	2.71434427251887	0.0115043955406629	0.118457977699588	0	1	1
YDL246C	SOR2	0.420393228951969	0.0397621386521889	0.0505647949187321	0	1	1
YDL245C	HXT15	0.511775659088925	0.01051277193107	0.0532766751704949	0	1	1
YDL244W	THI13	17.8447024603761	0.212095713241464	0.193489728434065	0	1	1
YDL243C	AAD4	172.475611173182	0.253763801106282	0.164238611745956	0	1	1
YDL242W		4.21223361000418	0.0784539839198432	0.142927565198638	0	1	1
YDL241W		287.024140626038	0.106362584861893	0.164838280681646	0	1	1
YDL240C-A		0.160117594620905	-0.0111132100624961	0.0389053605439883	0	1	1
YDL240W	LRG1	1184.71871921264	0.225863836603351	0.152099298585284	0	1	1
YDL239C	ADY3	95.0731246639672	0.260074736664405	0.178005102245302	0	1	1
YDL238C	GUD1	89.3601383420635	0.186137997113858	0.177910564823311	0	1	1
YDL237W	AIM6	1744.30086601142	-0.219185279688832	0.172201244876132	0	1	1
YDL236W	PHO13	2192.04337433361	-0.114107985858304	0.13834199855345	0	1	1
YDL235C	YPD1	596.277102431014	0.0513244204096295	0.162065760145554	0	1	1
YDL234C	GYP7	367.822654304462	0.230262650531462	0.141210237838912	0	1	1
YDL233W	MFG1	205.493192890507	0.109666214653073	0.148267832477712	0	1	1
YDL232W	OST4	1097.83897069086	-0.370896942912232	0.185497281307063	0	1	1
YDL231C	BRE4	1544.98980248356	-0.108173703952931	0.139320355451273	0	1	1
YDL230W	PTP1	342.344775306889	0.0382448223375959	0.143299249231788	0	1	1
YDL229W	SSB1	43344.0366163183	-0.17567409977582	0.167325359067033	0	1	1
YDL228C		29.7041331072576	-0.315256077183705	0.197855515378913	0	1	1
YDL227C	HO	453.846046136425	-0.0336087848338559	0.14069874206608	0	1	1
YDL226C	GCS1	1499.47290926363	0.0053316015439078	0.118258760750384	0	1	1
YDL225W	SHS1	744.020172965676	-0.0182765867571295	0.146291793110116	0	1	1
YDL224C	WHI4	2056.01946312755	-0.115931435327936	0.168442541398331	0	1	1
YDL223C	HBT1	213.37369522158	0.408005549057947	0.168738955438523	0	1	1
YDL222C	FMP45	53.2089145274838	0.0108238190368562	0.190236237295777	0	1	1
YDL221W		2.91247707401114	-0.146275870084666	0.123985973444889	0	1	1
YDL220C	CDC13	490.943379609907	-0.0244205588616635	0.132677663625726	0	1	1
YDL219W	DTD1	392.566997390835	-0.13254393633079	0.174378302485263	0	1	1
YDL218W		93.5262371735014	0.0481574588974965	0.192665477767587	0	1	1
YDL217C	TIM22	317.255464680666	-0.226903206712376	0.146736890737768	0	1	1
YDL216C	RRI1	64.0886404740289	0.300296260833788	0.189173306660881	0	1	1
YDL215C	GDH2	841.009343195934	-0.203123474205383	0.15597237761087	0	1	1
YDL214C	PRR2	42.010437725928	0.026159704721138	0.197813232533348	0	1	1
YDL213C	NOP6	1047.57606291838	-0.0506504776950131	0.146675581468867	0	1	1
YDL212W	SHR3	4561.74726092906	-0.373324484703828	0.164183452698162	0	1	1
YDL211C		239.661859217238	0.106965068357093	0.164546141041101	0	1	1
tG(GCC)D1		0	NA	NA	NA	NA	NA
YDL210W	UGA4	79.0188380278741	-0.235418644858917	0.189453468154203	0	1	1
YDL209C	CWC2	178.983103850674	0.0533128524281885	0.171789829140283	0	1	1
YDL208W	NHP2	2471.61685446813	-0.146055775798099	0.142341318141603	0	1	1
YDL207W	GLE1	429.38291573041	-0.0537737142338691	0.139347756547854	0	1	1
YDL206W		538.374691054436	-0.441616099618689	0.16682288586895	0	1	1
YDL205C	HEM3	723.624820392339	-0.241151078880707	0.180740881265264	0	1	1
YDL204W	RTN2	167.476554671169	0.401589950805126	0.168243230981369	0	1	1
YDL203C	ACK1	554.969671661037	0.0657794729291692	0.128130769744692	0	1	1
YDL202W	MRPL11	330.528766351662	-0.381611316048706	0.157600287700821	0	1	1
YDL201W	TRM8	1234.50644336525	0.0627551922083193	0.140030525673104	0	1	1
YDL200C	MGT1	163.282177354892	-0.267414393296437	0.155624708391766	0	1	1
YDL199C		160.831392421267	-0.119326191680575	0.189194108158402	0	1	1
YDL198C	GGC1	1275.94939259119	-0.140057022565345	0.170387014244257	0	1	1
YDL197C	ASF2	213.485549910959	-0.0516445600646972	0.158336612279743	0	1	1
YDL196W		23.5208452650421	0.0952743087676877	0.195002037147646	0	1	1
YDL195W	SEC31	7976.28628754637	-0.0259695604970965	0.165329317712534	0	1	1
YDL194W	SNF3	374.908846389685	0.238510037949608	0.156170709779852	0	1	1
YDL193W	NUS1	664.776367179521	-0.0581092111303033	0.136624936876216	0	1	1
YDL192W	ARF1	10086.868575931	-0.212435799629113	0.131586801253428	0	1	1
YDL191W	RPL35A	5516.29404879544	-0.311017696710387	0.139257329315817	0	1	1
YDL190C	UFD2	2085.66083483158	-0.00586834829649385	0.151279273522241	0	1	1
YDL189W	RBS1	611.803845458635	0.0443542284477794	0.132243401223007	0	1	1
YDL188C	PPH22	2029.98528625564	0.020821503973014	0.176864268611141	0	1	1
YDL187C		30.4919490762872	-0.374240339579766	0.199548509987031	0	1	1
YDL186W		5.28054943580301	0.0730690043666656	0.157398280497332	0	1	1
YDL185C-A		0	NA	NA	NA	NA	NA
YDL185W	VMA1	16830.8482526996	-0.102101857068575	0.170301314024267	0	1	1
YDL184C	RPL41A	73584.9077415591	0.0804651269427737	0.180843580495546	0	1	1
YDL183C		106.540962086305	-0.184747051348048	0.176150078424299	0	1	1
YDL182W	LYS20	4754.01560401775	-0.169915699423568	0.124495978029836	0	1	1
YDL181W	INH1	152.630803699401	-0.242689958367426	0.185797860748808	0	1	1
YDL180W		620.756653180707	-0.0518903834744781	0.16731834625846	0	1	1
YDL179W	PCL9	404.183871329626	-0.0768054455801437	0.167812293097649	0	1	1
YDL178W	DLD2	1307.36333918427	-0.18795440825947	0.142553102626459	0	1	1
YDL177C		111.956059365435	-0.0759877947330014	0.185770106675378	0	1	1
YDL176W		446.541037400193	0.0624926253365538	0.141501946318414	0	1	1
YDL175C	AIR2	279.421843337622	0.109502952730374	0.156022916030721	0	1	1
