	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-1.93204563776516	2.27673240170615	-0.848604621393939	0.396101334571518
Broad_conservation	0.00323556787547917	0.00519792328749142	0.622473187179469	0.533630769228111
cpb	3.32296476928967	14.1629316968517	0.234624076456453	0.81450052080203
Disorder	-1.13987288735499	0.805058286949961	-1.41588864537188	0.156808109912035
DM	-0.897334918685457	1.00936883837923	-0.88900596547673	0.373999873770786
gc_CDS	5.00078128947775	5.63462136383962	0.887509730746139	0.37480452962604
gc_UTR3	-2.63499868589924	2.54741531693305	-1.03438126809712	0.300957957924107
gc_UTR5	-0.805569268393256	1.74786299983961	-0.460888106486137	0.644878885187766
halfLife	-0.604567943583795	0.105572053171904	-5.72659075408312	1.02468956395698e-08
length_CDS	5.92477505457253e-05	0.000133468144134856	0.44390930082808	0.657108159861494
length_UTR3	0.000182208413707768	0.00155785034079007	0.11696143649804	0.906890612892776
length_UTR5	-0.00101370525284647	0.00233440310636708	-0.434246017785698	0.664109799538252
nTf	0.0371880924148244	0.0117754290607475	3.15810933283002	0.0015879598977983
PPI_degree	0.0194847200676191	0.00842324324804718	2.31320875983683	0.0207111641822874
