	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-3.61307963655332	2.09414243945879	-1.72532659119744	0.0844686324105679
Broad_conservation	0.000657123376281545	0.00510020931675492	0.128842432823845	0.897482328795849
cpb	-6.84582443604125	13.0996546768912	-0.522595793927133	0.60125556813853
Disorder	0.225309124895141	0.737563599928259	0.305477554636721	0.760002462318743
DM	-0.173811604152757	0.821448067946968	-0.211591713383856	0.832425574724045
gc_CDS	2.70141999006252	4.97129434050005	0.543403750619761	0.586851843907837
gc_UTR3	-1.16359904912924	2.00178882223873	-0.581279621607596	0.561052012693009
gc_UTR5	0.299761659816689	1.87594402315441	0.159792433098637	0.87304458500181
halfLife	0.0523310807544259	0.0405324893535895	1.29108973046067	0.19667256467624
length_CDS	0.000157314580342506	0.000172160006879231	0.913769598376362	0.360837924299039
length_UTR3	-0.00116214846705978	0.00122797291062403	-0.946395850433864	0.343946721089791
length_UTR5	-0.00099600202242406	0.00182432134215712	-0.545957556603687	0.58509511283306
nTf	0.0429612273284828	0.0103671359413937	4.14398225038683	3.41326174464473e-05
PPI_degree	0.00169960942932259	0.00936237460458806	0.181536148798158	0.855946761854896
