	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-3.15884071354088	0.307561533706448	-10.2705974816598	9.56106647599637e-25
Broad_conservation	0.0998878275582126	0.160469285449581	0.622473187179469	0.533630769228111
cpb	0.0434508011231983	0.185193275044232	0.23462407645645	0.814500520802032
Disorder	-0.215253812422928	0.15202735972672	-1.41588864537188	0.156808109912036
DM	-0.150502684210816	0.169293221930304	-0.889005965476729	0.373999873770787
gc_CDS	0.164189659001737	0.185000404292694	0.887509730746144	0.374804529626038
gc_UTR3	-0.169731569934154	0.164089949392062	-1.03438126809712	0.300957957924106
gc_UTR5	-0.0655129689414399	0.142145063019564	-0.460888106486139	0.644878885187765
halfLife	-2.43224416984297	0.42472812783221	-5.72659075408312	1.02468956395698e-08
length_CDS	0.0653149846595322	0.147135877841919	0.44390930082808	0.657108159861493
length_UTR3	0.021882894640398	0.187094954504636	0.116961436498042	0.906890612892775
length_UTR5	-0.0837345521856687	0.192827449777541	-0.434246017785698	0.664109799538251
nTf	0.546286741211712	0.172979046524073	3.15810933283002	0.00158795989779831
PPI_degree	0.271159077373488	0.117222051931282	2.31320875983683	0.0207111641822873
