	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-1.36910332380134	0.182060197116896	-7.52005845035024	5.47517589901295e-14
Broad_conservation	0.0202865861637226	0.157452678586555	0.128842432823844	0.89748232879585
cpb	-0.0895154107090784	0.171289956309063	-0.522595793927132	0.601255568138531
Disorder	0.042547417914195	0.139281650217455	0.305477554636719	0.760002462318744
DM	-0.0291520060428492	0.137774800235032	-0.211591713383859	0.832425574724043
gc_CDS	0.0886951860746479	0.163221519861591	0.54340375061977	0.586851843907831
gc_UTR3	-0.0749524067846716	0.128943806041888	-0.581279621607595	0.56105201269301
gc_UTR5	0.0243781349164109	0.15256125990248	0.159792433098638	0.87304458500181
halfLife	0.210533766166999	0.163066718911844	1.29108973046067	0.196672564676239
length_CDS	0.173424295558052	0.189789960036098	0.913769598376365	0.360837924299038
length_UTR3	-0.139571888825926	0.14747728317061	-0.946395850433869	0.343946721089788
length_UTR5	-0.082272221722748	0.150693438945236	-0.545957556603686	0.58509511283306
nTf	0.631093109427062	0.1522914605554	4.14398225038683	3.41326174464473e-05
PPI_degree	0.0236526120545239	0.13029147203526	0.181536148798157	0.855946761854897
