Feature	median_Unresponsive	median_Downregulated	median_Upregulated	fdr_Downregulated	fdr_Upregulated
Broad conservation	18	53.5	9	1.04560691541624e-26	3.83467439934326e-08
Codon Adaptation Index	0.231	0.269	0.229	6.17274811142025e-51	0.183867255186846
Co-expression degree	187	849	622	1.53342571195841e-183	3.59006117056858e-104
Codon Pair Bias	0.014	0.018	0.014	1.43989126866188e-15	0.201183208193034
Disorder	0.192	0.206	0.186	0.148744449303428	0.75675839196658
Distance-to-Median	-0.005	0.011	0.037	1.28625823643075e-06	8.41944908340922e-28
dN/dS	0.084	0.065	0.078	6.69759267110266e-10	0.0439780916837244
Expression level	0.8	1.9	0.4	6.62620665749099e-65	2.48163354816789e-29
Expression variation	0.441	0.654	0.671	2.71192122697622e-192	1.01905109560392e-180
GC content CDS	0.397	0.399	0.405	0.141055112960831	3.32312438546438e-08
GC content 3'UTR	0.287	0.274	0.286	5.63601313294873e-07	0.256390850770105
GC content 5'UTR	0.345	0.333	0.333	0.000268613517125494	0.00195547536038107
Half-life	3.87	3.908	4.609	0.988433612257639	5.46095669481027e-07
Length CDS	1056	1185	1101	1.80643310052098e-05	0.183867255186846
Length 3'UTR	104	106	112.5	0.655811419258804	0.0154495059204335
Length 5'UTR	54	46	68	3.93091148248956e-05	1.07629690120479e-06
Prionic properties	-14.778	-17.483	-13.752	9.28359587822622e-13	0.0169042815521385
Multifunctionality	9	10	8	0.0404898960981114	6.11161655906547e-10
Effective number of codons	51.6	48.5	51.9	2.22654168250918e-31	0.0661068676701779
Number of transcription factors	20	29	31	1.9007983402268e-56	2.79949044039138e-61
Number of domains	1	1	1	6.48961888791765e-05	0.344136783242959
Number of unique domains	1	1	1	0.000135784028462486	0.502361794145413
Genetic interaction degree	17	20	11	0.0830153647604341	7.28220811896254e-17
PARS CDS	0.259	0.308	0.226	2.69564524698303e-08	0.017706156160963
PARS 3'UTR	0.01	0.023	0.001	0.245619941867539	0.303574090880457
PARS 5'UTR	0.069	0.062	0.051	0.502361794145413	0.122509605500481
PPI degree	2	5	1	1.42996351034763e-25	0.000242172259487048
Fitness defect	-0.009	0.001	-0.018	0.000226821613978287	5.62231870225191e-12
VST residual variance	0.943	0.998	1.081	2.37476391258493e-09	7.38926953825182e-29
Yeast conservation	22	23	21	2.95731289535124e-23	0.00703685618305079
