	downregulated_Hog1_independent	downregulated_Hog1_dependent	MeanDecreaseAccuracy	MeanDecreaseGini
Broad_conservation	5.56962223919355	-0.849287743815468	4.56673657670738	8.71116235604626
cpb	4.98882554816871	-1.52453236694476	3.77915246045571	8.42174908244555
Disorder	1.36457696228479	-1.24194883943704	0.71295009873873	8.5718654986601
DM	0.370110464804866	-2.76314883669924	-0.912456141453335	9.24221867162225
gc_CDS	6.06058421702152	-1.3034143452738	4.83422576543112	8.58805933213209
gc_UTR3	1.16953825125842	1.2737782415484	1.76890774134878	7.82151966831889
gc_UTR5	-0.0421612654418278	-1.62302292037623	-0.786600279420315	8.65229553072233
halfLife	11.2875770864104	12.2922268648793	15.5840448920174	17.1633851833221
length_CDS	1.71944212374221	4.02815360774002	3.54531335517087	10.2184015683379
length_UTR3	-0.0211972806409626	-2.48359322470811	-1.30371928169503	6.86925756311735
length_UTR5	-0.0903745684754129	-0.924623276249063	-0.52142020834277	8.55753097755618
nTf	10.2464259645516	8.65514020565653	12.5076187570036	11.3097773582164
PPI_degree	-0.319663491888896	3.30067379408254	1.22236595623918	9.39764270657864
