	unresponsive	downregulated	upregulated	MeanDecreaseAccuracy	MeanDecreaseGini
Broad_conservation	0.896907359329074	27.9972803552069	19.4912056226337	28.9121253786979	75.536394623332
cpb	1.13781670231024	8.86168027516223	9.68947977711611	12.4807059194874	65.7432624456846
Disorder	2.19605994472511	1.07055616233117	3.4295050031066	3.90933886880512	56.8916496944369
DM	5.29008109108639	2.93836283540448	8.54922017459066	9.73022658498824	63.8797932988847
gc_CDS	2.79520128720323	5.67314942913515	4.27229206283841	7.56929952770797	59.5204012104932
gc_UTR3	0.0893317051616944	3.90472578865566	-0.25329766164471	2.33002857258241	55.9689010069922
gc_UTR5	3.84642472475172	2.38904575618412	0.355513480269379	3.86925553601169	56.410652886137
halfLife	9.91456486218433	12.1787201171059	11.5414466243613	19.7407860783428	75.0545126979228
length_CDS	1.22283112156298	5.96919015534731	5.8634577283832	7.27795882846717	59.4039450430733
length_UTR3	-0.10563681466646	3.55832274820304	0.782579302922445	2.42217616876715	55.7263415961134
length_UTR5	2.94116003919825	10.2642148588455	7.46226113148746	12.8781801094918	64.0112055104466
nTf	19.9634755762746	9.55871012235276	14.6585749666951	24.2914767639732	79.1763520560363
PPI_degree	1.43504319003255	15.5363169255614	10.0814573460068	16.6721533832727	54.7900340597275
