ensembl_gene_id	external_gene_name
snR24	
snR31	
snR33	
snR39	
snR44	
snR54	
snR55	
snR57	
snR63	
snR84	
TLC1	
YAL003W	EFB1
YAL019W	FUN30
YAL025C	MAK16
YAL035W	FUN12
YAL036C	RBG1
YAL059W	ECM1
YAR008W	SEN34
YAR015W	ADE1
YBL004W	UTP20
YBL009W	ALK2
YBL018C	POP8
YBL024W	NCL1
YBL028C	
YBL035C	POL12
YBL039C	URA7
YBL042C	FUI1
YBL054W	TOD6
YBL068W	PRS4
YBL071W-A	KTI11
YBL076C	ILS1
YBL081W	
YBR031W	RPL4A
YBR034C	HMT1
YBR040W	FIG1
YBR061C	TRM7
YBR069C	TAT1
YBR078W	ECM33
YBR079C	RPG1
YBR084W	MIS1
YBR085W	AAC3
YBR088C	POL30
YBR092C	PHO3
YBR104W	YMC2
YBR141C	BMT2
YBR142W	MAK5
YBR154C	RPB5
YBR155W	CNS1
YBR158W	AMN1
YBR162C	TOS1
YBR181C	RPS6B
YBR191W	RPL21A
YBR202W	MCM7
YBR213W	MET8
YBR233W-A	DAD3
YBR238C	
YBR242W	
YBR247C	ENP1
YBR248C	HIS7
YBR252W	DUT1
YBR267W	REI1
YBR271W	EFM2
YBR275C	RIF1
YCL024W	KCC4
YCL030C	HIS4
YCL036W	GFD2
YCL037C	SRO9
YCL054W	SPB1
YCL058W-A	ADF1
YCL059C	KRR1
YCR016W	
YCR034W	ELO2
YCR047C	BUD23
YCR051W	
YCR057C	PWP2
YCR059C	YIH1
YCR063W	BUD31
YCR072C	RSA4
YCR073C	SSK22
YCR087C-A	
YDL014W	NOP1
YDL031W	DBP10
YDL036C	PUS9
YDL037C	BSC1
YDL039C	PRM7
YDL042C	SIR2
YDL051W	LHP1
YDL055C	PSA1
YDL060W	TSR1
YDL063C	SYO1
YDL082W	RPL13A
YDL083C	RPS16B
YDL112W	TRM3
YDL121C	
YDL136W	RPL35B
YDL148C	NOP14
YDL150W	RPC53
YDL151C	BUD30
YDL152W	
YDL153C	SAS10
YDL166C	FAP7
YDL167C	NRP1
YDL201W	TRM8
YDL208W	NHP2
YDL213C	NOP6
YDL227C	HO
YDL229W	SSB1
YDL241W	
YDR012W	RPL4B
YDR020C	DAS2
YDR021W	FAL1
YDR025W	RPS11A
YDR033W	MRH1
YDR045C	RPC11
YDR060W	MAK21
YDR075W	PPH3
YDR083W	RRP8
YDR087C	RRP1
YDR091C	RLI1
YDR097C	MSH6
YDR101C	ARX1
YDR120C	TRM1
YDR144C	MKC7
YDR161W	
YDR165W	TRM82
YDR179C	CSN9
YDR179W-A	
YDR183C-A	
YDR184C	ATC1
YDR234W	LYS4
YDR245W	MNN10
YDR281C	PHM6
YDR297W	SUR2
YDR299W	BFR2
YDR300C	PRO1
YDR312W	SSF2
YDR324C	UTP4
YDR339C	FCF1
YDR341C	
YDR345C	HXT3
YDR346C	SVF1
YDR361C	BCP1
YDR365C	ESF1
YDR384C	ATO3
YDR395W	SXM1
YDR397C	NCB2
YDR398W	UTP5
YDR399W	HPT1
YDR412W	RRP17
YDR418W	RPL12B
YDR429C	TIF35
YDR441C	APT2
YDR447C	RPS17B
YDR449C	UTP6
YDR465C	RMT2
YDR469W	SDC1
YDR471W	RPL27B
YDR478W	SNM1
YDR492W	IZH1
YDR496C	PUF6
YDR514C	
YDR524C-B	
YDR524W-C	
YDR528W	HLR1
YEL009C	GCN4
YEL017C-A	PMP2
YEL026W	SNU13
YEL040W	UTR2
YEL042W	GDA1
YEL046C	GLY1
YEL048C	TCA17
YEL054C	RPL12A
YEL055C	POL5
YER001W	MNN1
YER002W	NOP16
YER006W	NUG1
YER025W	GCD11
YER043C	SAH1
YER049W	TPA1
YER055C	HIS1
YER056C	FCY2
YER056C-A	RPL34A
YER070W	RNR1
YER073W	ALD5
YER082C	UTP7
YER086W	ILV1
YER091C	MET6
YER102W	RPS8B
YER110C	KAP123
YER117W	RPL23B
YER118C	SHO1
YER126C	NSA2
YER127W	LCP5
YER131W	RPS26B
YER145C	FTR1
YER156C	
YFL001W	DEG1
YFL002C	SPB4
YFL023W	BUD27
YFL034C-A	RPL22B
YFR001W	LOC1
YFR031C-A	RPL2A
YFR055W	IRC7
YGL008C	PMA1
YGL029W	CGR1
YGL032C	AGA2
YGL055W	OLE1
YGL078C	DBP3
YGL097W	SRM1
YGL099W	LSG1
YGL111W	NSA1
YGL120C	PRP43
YGL148W	ARO2
YGL169W	SUA5
YGL171W	ROK1
YGL188C-A	
YGL234W	ADE5,7
YGL236C	MTO1
YGR030C	POP6
YGR035C	
YGR060W	ERG25
YGR061C	ADE6
YGR078C	PAC10
YGR079W	
YGR081C	SLX9
YGR085C	RPL11B
YGR090W	UTP22
YGR103W	NOP7
YGR108W	CLB1
YGR109C	CLB6
YGR118W	RPS23A
YGR123C	PPT1
YGR128C	UTP8
YGR138C	TPO2
YGR140W	CBF2
YGR145W	ENP2
YGR148C	RPL24B
YGR155W	CYS4
YGR158C	MTR3
YGR159C	NSR1
YGR162W	TIF4631
YGR177C	ATF2
YGR187C	HGH1
YGR188C	BUB1
YGR200C	ELP2
YGR208W	SER2
YGR234W	YHB1
YGR245C	SDA1
YGR251W	NOP19
YGR264C	MES1
YGR271C-A	EFG1
YGR280C	PXR1
YGR283C	
YGR285C	ZUO1
YHL001W	RPL14B
YHL011C	PRS3
YHL013C	OTU2
YHL026C	
YHL033C	RPL8A
YHL039W	EFM1
YHR007C	ERG11
YHR020W	
YHR040W	BCD1
YHR052W	CIC1
YHR062C	RPP1
YHR065C	RRP3
YHR066W	SSF1
YHR070W	TRM5
YHR072W-A	NOP10
YHR085W	IPI1
YHR088W	RPF1
YHR089C	GAR1
YHR100C	GEP4
YHR128W	FUR1
YHR143W-A	RPC10
YHR148W	IMP3
YHR149C	SKG6
YHR154W	RTT107
YHR169W	DBP8
YHR170W	NMD3
YHR196W	UTP9
YHR197W	RIX1
YHR203C	RPS4B
YIL008W	URM1
YIL009W	FAA3
YIL011W	TIR3
YIL019W	FAF1
YIL047C	SYG1
YIL047C-A	
YIL064W	EFM4
YIL069C	RPS24B
YIL079C	AIR1
YIL091C	UTP25
YIL096C	BMT5
YIL103W	DPH1
YIL110W	HPM1
YIL127C	RRT14
YIL131C	FKH1
YIL133C	RPL16A
YIL158W	AIM20
YIR012W	SQT1
YIR026C	YVH1
YJL010C	NOP9
YJL011C	RPC17
YJL033W	HCA4
YJL050W	MTR4
YJL069C	UTP18
YJL074C	SMC3
YJL098W	SAP185
YJL109C	UTP10
YJL118W	
YJL122W	ALB1
YJL125C	GCD14
YJL130C	URA2
YJL148W	RPA34
YJL157C	FAR1
YJL158C	CIS3
YJL190C	RPS22A
YJL191W	RPS14B
YJL198W	PHO90
YJL200C	ACO2
YJL208C	NUC1
YJL218W	
YJR002W	MPP10
YJR003C	
YJR007W	SUI2
YJR032W	CPR7
YJR041C	URB2
YJR048W	CYC1
YJR063W	RPA12
YJR067C	YAE1
YJR070C	LIA1
YJR072C	NPA3
YJR094W-A	RPL43B
YJR097W	JJJ3
YJR112W	NNF1
YJR124C	
YJR129C	EFM3
YJR147W	HMS2
YKL004W	AUR1
YKL009W	MRT4
YKL014C	URB1
YKL021C	MAK11
YKL029C	MAE1
YKL078W	DHR2
YKL081W	TEF4
YKL082C	RRP14
YKL084W	HOT13
YKL099C	UTP11
YKL110C	KTI12
YKL113C	RAD27
YKL120W	OAC1
YKL143W	LTV1
YKL144C	RPC25
YKL156C-A	
YKL156W	RPS27A
YKL172W	EBP2
YKL181W	PRS1
YKL191W	DPH2
YKL216W	URA1
YKR024C	DBP7
YKR025W	RPC37
YKR044W	UIP5
YKR056W	TRM2
YKR057W	RPS21A
YKR060W	UTP30
YKR079C	TRZ1
YKR081C	RPF2
YKR092C	SRP40
YKR099W	BAS1
YLL008W	DRS1
YLL011W	SOF1
YLL012W	YEH1
YLL034C	RIX7
YLL035W	GRC3
YLL061W	MMP1
YLR002C	NOC3
YLR003C	CMS1
YLR008C	PAM18
YLR009W	RLP24
YLR014C	PPR1
YLR015W	BRE2
YLR017W	MEU1
YLR029C	RPL15A
YLR051C	FCF2
YLR056W	ERG3
YLR057W	MNL2
YLR058C	SHM2
YLR063W	BMT6
YLR068W	FYV7
YLR073C	RFU1
YLR074C	BUD20
YLR083C	EMP70
YLR084C	RAX2
YLR106C	MDN1
YLR126C	
YLR129W	DIP2
YLR146C	SPE4
YLR154C	RNH203
YLR172C	DPH5
YLR175W	CBF5
