ACC	BLCA	BRCA	CESC	CHOL	COAD	COADREAD	DLBC	GBM	GBMLGG	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	STES	TGCT	THCA	THYM	UCEC	UCS	UVM
ABAT	0.611111111111111	0.5	0.605555555555556	0.308474576271186	0.333333333333333	0.312638580931264	0.308441558441558	0.145833333333333	0.194107452339688	0.13394495412844	0.344827586206897	0.378787878787879	0.234848484848485	0.541666666666667	0.0104712041884817	0.0662768031189084	0.397297297297297	0.494186046511628	0.522954091816367	0.677029360967185	0.184782608695652	0.0987654320987654	0.126016260162602	0.296969696969697	0.466926070038911	0.348773841961853	0.380952380952381	0.4176	0.386666666666667	0.0340681362725451	0.0569105691056911	0.233766233766234	0.75	0.0875
ABCC2	0.388888888888889	0.490196078431373	0.377777777777778	0.352542372881356	0.305555555555556	0.270509977827051	0.287337662337662	0.1875	0.88734835355286	0.575229357798165	0.323754789272031	0.772727272727273	0.206439393939394	0.0902777777777778	0.0209424083769634	0.224171539961014	0.378378378378378	0.432170542635659	0.602794411177645	0.606217616580311	0.277173913043478	0.0925925925925926	0.193089430894309	0.333333333333333	0.556420233463035	0.643051771117166	0.356009070294785	0.3952	0.513333333333333	0.0200400801603206	0.0487804878048781	0.335807050092764	0.696428571428571	0.0125
ACR	0.566666666666667	0.575980392156863	0.575	0.410169491525424	0.305555555555556	0.390243902439024	0.409090909090909	0.166666666666667	0.421143847487002	0.31743119266055	0.385057471264368	0.439393939393939	0.151515151515152	0.236111111111111	0.0680628272251309	0.200779727095517	0.389189189189189	0.61046511627907	0.678642714570858	0.903281519861831	0.375	0.419753086419753	0.128048780487805	0.460606060606061	0.544747081712062	0.487738419618529	0.442176870748299	0.4816	0.573333333333333	0.186372745490982	0.154471544715447	0.317254174397032	0.839285714285714	0.0875
ACRV1	0.355555555555556	0.485294117647059	0.574074074074074	0.572881355932203	0.388888888888889	0.277161862527716	0.300324675324675	0.375	0.195840554592721	0.204587155963303	0.565134099616858	0.378787878787879	0.107954545454545	0.131944444444444	0.0575916230366492	0.214424951267057	0.316216216216216	0.459302325581395	0.550898203592814	0.595854922279793	0.201086956521739	0.290123456790123	0.132113821138211	0.363636363636364	0.536964980544747	0.602179836512262	0.365079365079365	0.4256	0.82	0.0280561122244489	0.0731707317073171	0.224489795918367	0.625	0.1875
ACTA1	0.3	0.468137254901961	0.762037037037037	0.549152542372881	0.638888888888889	0.317073170731707	0.332792207792208	0.270833333333333	0.220103986135182	0.168807339449541	0.339080459770115	0.787878787878788	0.1875	0.138888888888889	0.0209424083769634	0.111111111111111	0.740540540540541	0.717054263565892	0.578842315369261	0.621761658031088	0.353260869565217	0.259259259259259	0.148373983739837	0.375757575757576	0.478599221789883	0.577656675749319	0.356009070294785	0.4144	0.506666666666667	0.064128256513026	0.235772357723577	0.428571428571429	0.75	0.1625
ACTL10	0.611111111111111	0.634803921568627	0.474074074074074	0.457627118644068	0.388888888888889	0.71840354767184	0.762987012987013	0.125	0.419410745233969	0.265137614678899	0.461685823754789	0.378787878787879	0.223484848484848	0.350694444444444	0.0157068062827225	0.0916179337231969	0.337837837837838	0.531007751937985	0.636726546906188	0.618307426597582	0.260869565217391	0.0802469135802469	0.0955284552845529	0.884848484848485	0.43579766536965	0.501362397820163	0.630385487528345	0.6464	0.38	0.0240480961923848	0.0894308943089431	0.282003710575139	0.785714285714286	0.1125
ADAMTS1	0.555555555555556	0.497549019607843	0.384259259259259	0.328813559322034	0.5	0.348115299334812	0.38474025974026	0.229166666666667	0.202772963604853	0.165137614678899	0.448275862068966	0.590909090909091	0.196969696969697	0.21875	0.0680628272251309	0.12280701754386	0.378378378378378	0.542635658914729	0.664670658682635	0.568221070811744	0.33695652173913	0.246913580246914	0.111788617886179	0.484848484848485	0.474708171206226	0.392370572207084	0.485260770975057	0.544	0.853333333333333	0.0260521042084168	0.0975609756097561	0.181818181818182	0.625	0.2125
ADAMTS12	0.733333333333333	0.563725490196078	0.427777777777778	0.447457627118644	0.361111111111111	0.305986696230599	0.324675324675325	0.1875	0.159445407279029	0.126605504587156	0.486590038314176	0.272727272727273	0.331439393939394	0.145833333333333	0.0157068062827225	0.0896686159844055	0.432432432432432	0.647286821705426	0.796407185628742	0.57167530224525	0.201086956521739	0.104938271604938	0.0955284552845529	0.375757575757576	0.517509727626459	0.44141689373297	0.401360544217687	0.4816	0.726666666666667	0.0440881763527054	0.0975609756097561	0.215213358070501	0.553571428571429	0.05
ADARB2	0.411111111111111	0.529411764705882	0.397222222222222	0.322033898305085	0.333333333333333	0.277161862527716	0.277597402597403	0.208333333333333	0.845753899480069	0.588990825688073	0.415708812260536	0.787878787878788	0.159090909090909	0.0868055555555556	0.0209424083769634	0.300194931773879	0.283783783783784	0.503875968992248	0.640718562874252	0.630397236614853	0.28804347826087	0.0864197530864197	0.130081300813008	0.278787878787879	0.587548638132296	0.583106267029973	0.405895691609977	0.4464	0.613333333333333	0.0180360721442886	0.032520325203252	0.315398886827458	0.821428571428571	0.025
ADM	0.355555555555556	0.588235294117647	0.407407407407407	0.389830508474576	0.333333333333333	0.246119733924612	0.269480519480519	0.1875	0.228769497400347	0.234862385321101	0.42911877394636	0.363636363636364	0.0965909090909091	0.09375	0.031413612565445	0.241715399610136	0.251351351351351	0.416666666666667	0.574850299401198	0.652849740932642	0.195652173913043	0.382716049382716	0.0833333333333333	0.333333333333333	0.463035019455253	0.430517711171662	0.331065759637188	0.3872	0.693333333333333	0.0260521042084168	0.0894308943089431	0.239332096474954	0.553571428571429	0.15
