BLCA	BRCA	CESC	CHOL	COAD	COADREAD	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	PAAD	PCPG	PRAD	READ	SARC	STAD	STES	THCA	THYM	UCEC
ABAT	-0.423419150325118	1.15184997365207	-0.0158917909390606	-5.87366861959241	-0.441058972413696	-0.615273383766399	-0.623258780061873	-3.22819450200551	-2.64509837880287	-1.96052227344669	-1.6424031182423	-0.390478614331766	-0.690244924259496	0.545229926825808	1.4238471231841	0.753621425465736	-1.29158906580041	-0.964957166661359	-1.19322717748772	-1.02981134795886	-0.524992417626069	-0.184265436708289	-1.7585754109859
ABCC2	-1.0591742104494	-0.594873189452443	-1.05052506318039	-4.01739891958828	2.72844834940009	2.96716363087603	1.42569277074597	-4.9906990063938	0.915659214817398	-0.135021029533372	-0.374762178810547	3.18023800826217	1.19238669027119	-0.520569531395838	-1.02483747600812	0.152871540707786	3.44693730188573	-2.81126969376133	-0.475136494760532	0.26071596143705	-0.692832574720924	-0.6266187704127	-0.36495987409542
ACR	-1.37644843305605	-1.21066869005758	-2.10341953670207	-2.12448179734223	0.0846581521042073	0.0305464176399712	-0.799415539232109	-0.794050806114798	0.928538568597363	-0.498816385849785	-0.828736020064495	-1.73465494115627	-2.09072685258945	-0.675808302157655	1.05726398326722	0.0421489514968649	-0.0945101883294875	-0.120412431171318	-0.132433868305848	0.0418663473398475	1.1176131104238	-0.387359029894171	-1.14196477089193
ACRV1	0.8315963591781	1.24893482338136	0.346920653691799	2.47073745965109	1.38796736224183	1.30704398092832	0.841133205024107	1.99460097627593	1.66989915674958	1.75963065436768	0.494828244191749	2.98877870558613	2.58516984189222	-0.825113681955102	2.00187877355525	0.532090837299788	0.532490314138662	0.173576409903971	1.55829267868124	1.73603350767126	-0.077573465107043	0.429491376461352	-0.0373712894071743
ACTA1	-2.86512828895168	0.609566404322998	0.190178310712896	3.86009104857114	-0.473858829839099	-0.500503957153109	-3.63809150761672	-1.25970889143443	-0.943448498513823	-0.392823563199824	0.539575504052188	-0.433954233395797	-0.556651070623294	0.126146629433855	0.767487965149697	-2.6831708062493	-0.546171575559743	-3.11096637253546	-1.56505479758962	-1.38843051440141	-0.588339845293389	-2.13736214212193	-0.0305395180090581
ADAMTS1	-3.17623932878371	-2.36016332727378	-5.24356512937243	-1.17252202740771	-1.98308010630837	-1.83137802121336	-0.273785854553589	-1.83117937415205	-0.108396828384862	-0.0059514087693261	-1.57205741397149	-2.11856075640304	-1.8058708076995	-0.462312467310793	0.594171537884626	-0.570185132813489	-1.16723775983565	0.95843968027259	-1.55336232092571	-1.70206559081682	-0.339660952530024	-2.04501445535436	-2.83291091524639
ADAMTS12	1.62714133089247	1.01354606138307	-2.17942363811582	1.72544990038108	3.64221715508928	3.45017705439652	3.27583256041341	0.649496805122532	1.09857522715044	-0.565830818390879	0.2371716777594	2.13240928176762	1.63553797809807	0.349432006257585	0.6316582681028	-0.36858833164711	2.20761999328254	1.57035023616409	2.32733650898643	2.37937718942931	0.557107314197364	-2.79141382516829	-0.949665353916718
ADARB2	-1.78549114375768	-1.07395512167462	0.129292465104431	1.47709992962429	-1.01470822868076	-1.06170834780275	-1.92512973471814	-2.26459579130944	-1.36662453627998	-0.803649472523943	-0.858314498964071	-1.18541971290501	-0.220004026119442	-0.751879408906655	0.790043561280094	0.416909604719783	-1.08916370773178	-0.817146711256466	-1.63217663231305	-1.36873869171214	0.210819997762392	0.135366346585757	-3.14452554413549
ADM	-0.164030257415885	-1.77105827819076	3.12347318495662	-1.70270266453086	-0.55421046510809	-0.595704849929553	0.931987707690525	2.02967255535379	2.67021998939901	-0.402221325942176	-1.0149631738935	-0.029644431572269	1.41936535396339	2.47792408202865	1.48177837742724	-0.20312122959778	-0.730368474986454	0.0834294180961035	-0.440056007872445	-0.33349456957299	2.01521139234745	-2.75588158720562	1.38799924009417
ADRA2B	-1.40038120724587	-1.62979435249562	-1.90513275722879	-3.19003530587727	-0.564734255494624	-0.526317105178311	-0.609625017974998	0.178543094317372	0.0951232446030063	-2.77007289162158	-2.1591410322498	-0.190602569803277	2.04054883196804	-0.77667690872277	-0.178839652450117	-1.38454007626659	-0.294012140906639	-1.57256116820496	0.0703494050561421	0.0541784251629114	-0.0735354534061772	-1.55644357831759	-1.13978127683461
