ensembl_gene	associated_gene_name	salt_HeLa
ENSG00000223972	DDX11L1	unresponsive
ENSG00000227232	WASH7P	unresponsive
ENSG00000243485	MIR1302-2HG	unresponsive
ENSG00000238009	AL627309.1	unresponsive
ENSG00000233750	CICP27	unresponsive
ENSG00000268903	AL627309.6	unresponsive
ENSG00000269981	AL627309.7	unresponsive
ENSG00000239906	AL627309.2	unresponsive
ENSG00000241860	AL627309.5	unresponsive
ENSG00000279928	FO538757.1	unresponsive
ENSG00000279457	WASH9P	unresponsive
ENSG00000228463	AP006222.1	unresponsive
ENSG00000236679	RPL23AP24	unresponsive
ENSG00000236743	NA	unresponsive
ENSG00000236601	AL732372.1	unresponsive
ENSG00000237094	AL732372.2	unresponsive
ENSG00000233653	CICP7	unresponsive
ENSG00000250575	AL732372.3	unresponsive
ENSG00000230021	AL669831.3	unresponsive
ENSG00000235146	AC114498.1	unresponsive
ENSG00000225972	MTND1P23	upregulated
ENSG00000225630	MTND2P28	upregulated
ENSG00000276171	NA	unresponsive
ENSG00000237973	MTCO1P12	unresponsive
ENSG00000278791	MIR6723	unresponsive
ENSG00000229344	MTCO2P12	upregulated
ENSG00000248527	MTATP6P1	unresponsive
ENSG00000198744	MTCO3P12	unresponsive
ENSG00000273547	NA	unresponsive
ENSG00000229376	CICP3	unresponsive
ENSG00000228327	AL669831.1	unresponsive
ENSG00000237491	AL669831.5	unresponsive
ENSG00000230092	AL669831.4	unresponsive
ENSG00000177757	FAM87B	unresponsive
ENSG00000228794	LINC01128	unresponsive
ENSG00000225880	LINC00115	downregulated
ENSG00000230368	FAM41C	unresponsive
ENSG00000234711	TUBB8P11	unresponsive
ENSG00000283040	AL669831.6	unresponsive
ENSG00000272438	AL645608.6	unresponsive
ENSG00000230699	AL645608.2	downregulated
ENSG00000223764	LINC02593	downregulated
ENSG00000187634	SAMD11	unresponsive
ENSG00000188976	NOC2L	unresponsive
ENSG00000187961	KLHL17	unresponsive
ENSG00000187583	PLEKHN1	unresponsive
ENSG00000187642	PERM1	upregulated
ENSG00000272512	AL645608.7	unresponsive
ENSG00000188290	HES4	unresponsive
ENSG00000187608	ISG15	unresponsive
ENSG00000231702	AL645608.3	unresponsive
ENSG00000224969	AL645608.1	unresponsive
ENSG00000188157	AGRN	unresponsive
ENSG00000217801	AL390719.1	unresponsive
ENSG00000273443	AL645608.8	unresponsive
ENSG00000237330	RNF223	unresponsive
ENSG00000131591	C1orf159	unresponsive
ENSG00000186891	TNFRSF18	unresponsive
ENSG00000078808	SDF4	unresponsive
ENSG00000176022	B3GALT6	unresponsive
ENSG00000184163	C1QTNF12	unresponsive
ENSG00000260179	AL162741.1	unresponsive
ENSG00000160087	UBE2J2	unresponsive
ENSG00000230415	LINC01786	unresponsive
ENSG00000162572	SCNN1D	unresponsive
ENSG00000131584	ACAP3	unresponsive
ENSG00000169972	PUSL1	unresponsive
ENSG00000127054	INTS11	unresponsive
ENSG00000240731	AL139287.1	unresponsive
ENSG00000224051	CPTP	unresponsive
ENSG00000169962	TAS1R3	unresponsive
ENSG00000107404	DVL1	unresponsive
ENSG00000162576	MXRA8	unresponsive
ENSG00000175756	AURKAIP1	unresponsive
ENSG00000221978	CCNL2	unresponsive
ENSG00000224870	MRPL20-AS1	unresponsive
ENSG00000242485	MRPL20	unresponsive
ENSG00000272455	AL391244.2	downregulated
ENSG00000179403	VWA1	unresponsive
ENSG00000215915	ATAD3C	unresponsive
ENSG00000160072	ATAD3B	unresponsive
ENSG00000197785	ATAD3A	unresponsive
ENSG00000205090	TMEM240	unresponsive
ENSG00000160075	SSU72	unresponsive
ENSG00000215014	AL645728.1	unresponsive
ENSG00000228594	FNDC10	unresponsive
ENSG00000272106	AL691432.2	unresponsive
ENSG00000197530	MIB2	upregulated
ENSG00000189409	MMP23B	unresponsive
ENSG00000248333	CDK11B	unresponsive
ENSG00000272004	FO704657.1	unresponsive
ENSG00000189339	SLC35E2B	unresponsive
ENSG00000269737	AL691432.1	upregulated
ENSG00000269227	NA	unresponsive
ENSG00000008128	CDK11A	unresponsive
ENSG00000268575	AL031282.2	unresponsive
ENSG00000227775	AL031282.1	unresponsive
ENSG00000215790	SLC35E2A	unresponsive
ENSG00000008130	NADK	unresponsive
ENSG00000078369	GNB1	unresponsive
ENSG00000231050	AL109917.1	unresponsive
ENSG00000178821	TMEM52	unresponsive
ENSG00000142609	CFAP74	unresponsive
ENSG00000067606	PRKCZ	unresponsive
ENSG00000271806	AL590822.2	unresponsive
ENSG00000182873	PRKCZ-AS1	unresponsive
ENSG00000162585	FAAP20	unresponsive
ENSG00000234396	AL590822.1	unresponsive
ENSG00000157933	SKI	unresponsive
ENSG00000116151	MORN1	unresponsive
ENSG00000269896	AL513477.1	unresponsive
ENSG00000272420	AL513477.2	unresponsive
ENSG00000157916	RER1	unresponsive
ENSG00000157911	PEX10	unresponsive
ENSG00000149527	PLCH2	unresponsive
ENSG00000157881	PANK4	unresponsive
ENSG00000272449	AL139246.5	unresponsive
ENSG00000238164	TNFRSF14-AS1	unresponsive
ENSG00000157873	TNFRSF14	unresponsive
ENSG00000157870	PRXL2B	unresponsive
ENSG00000142606	MMEL1	unresponsive
ENSG00000215912	TTC34	unresponsive
ENSG00000142611	PRDM16	upregulated
ENSG00000130762	ARHGEF16	unresponsive
ENSG00000272088	AL512413.1	unresponsive
ENSG00000162591	MEGF6	unresponsive
ENSG00000238260	AL513320.1	unresponsive
ENSG00000158109	TPRG1L	unresponsive
ENSG00000116213	WRAP73	unresponsive
ENSG00000078900	TP73	unresponsive
ENSG00000227372	TP73-AS1	unresponsive
ENSG00000276189	RF02197	unresponsive
ENSG00000235169	SMIM1	unresponsive
ENSG00000130764	LRRC47	unresponsive
ENSG00000272153	AL365330.1	unresponsive
ENSG00000116198	CEP104	unresponsive
ENSG00000169598	DFFB	unresponsive
ENSG00000198912	C1orf174	unresponsive
ENSG00000236423	LINC01134	unresponsive
ENSG00000131697	NPHP4	unresponsive
ENSG00000069424	KCNAB2	unresponsive
ENSG00000116254	CHD5	unresponsive
ENSG00000116251	RPL22	unresponsive
ENSG00000226944	AL031847.1	unresponsive
ENSG00000158286	RNF207	unresponsive
ENSG00000116237	ICMT	unresponsive
ENSG00000225077	LINC00337	unresponsive
ENSG00000158292	GPR153	unresponsive
ENSG00000097021	ACOT7	unresponsive
ENSG00000271746	AL031848.2	unresponsive
ENSG00000069812	HES2	unresponsive
ENSG00000187017	ESPN	unresponsive
ENSG00000215788	TNFRSF25	upregulated
ENSG00000171680	PLEKHG5	unresponsive
ENSG00000162408	NOL9	unresponsive
ENSG00000229519	AL591866.1	unresponsive
ENSG00000173662	TAS1R1	upregulated
ENSG00000204859	ZBTB48	unresponsive
ENSG00000162413	KLHL21	unresponsive
ENSG00000116273	PHF13	unresponsive
ENSG00000041988	THAP3	unresponsive
ENSG00000007923	DNAJC11	unresponsive
ENSG00000237436	CAMTA1-DT	unresponsive
ENSG00000171735	CAMTA1	unresponsive
ENSG00000237402	CAMTA1-IT1	unresponsive
ENSG00000237728	Z97987.1	unresponsive
ENSG00000049245	VAMP3	unresponsive
ENSG00000269925	Z98884.2	unresponsive
ENSG00000049246	PER3	unresponsive
ENSG00000236266	Z98884.1	unresponsive
ENSG00000049247	UTS2	unresponsive
ENSG00000049249	TNFRSF9	unresponsive
ENSG00000116288	PARK7	unresponsive
ENSG00000116285	ERRFI1	upregulated
ENSG00000227634	LINC01714	unresponsive
ENSG00000162426	SLC45A1	unresponsive
ENSG00000142599	RERE	unresponsive
ENSG00000232912	RERE-AS1	unresponsive
ENSG00000074800	ENO1	unresponsive
ENSG00000280816	NA	downregulated
ENSG00000274258	MIR6728	unresponsive
ENSG00000236269	NA	unresponsive
ENSG00000230679	ENO1-AS1	unresponsive
ENSG00000142583	SLC2A5	unresponsive
ENSG00000180758	GPR157	downregulated
ENSG00000228526	MIR34AHG	downregulated
ENSG00000234546	LNCTAM34A	unresponsive
ENSG00000281937	NA	unresponsive
ENSG00000049239	H6PD	downregulated
ENSG00000171621	SPSB1	unresponsive
ENSG00000171612	SLC25A33	unresponsive
ENSG00000231181	AL954705.1	unresponsive
ENSG00000188807	TMEM201	unresponsive
ENSG00000171608	PIK3CD	unresponsive
ENSG00000231789	PIK3CD-AS2	unresponsive
ENSG00000171603	CLSTN1	unresponsive
ENSG00000178585	CTNNBIP1	unresponsive
ENSG00000223989	AL357140.1	unresponsive
ENSG00000162441	LZIC	unresponsive
ENSG00000228150	AL357140.2	unresponsive
ENSG00000173614	NMNAT1	unresponsive
ENSG00000202415	RN7SKP269	unresponsive
ENSG00000162444	RBP7	unresponsive
ENSG00000130939	UBE4B	unresponsive
ENSG00000054523	KIF1B	unresponsive
ENSG00000142657	PGD	unresponsive
ENSG00000271989	AL139424.1	unresponsive
ENSG00000251503	CENPS-CORT	unresponsive
ENSG00000175279	CENPS	unresponsive
ENSG00000241563	CORT	unresponsive
ENSG00000160049	DFFA	unresponsive
ENSG00000203469	AL354956.1	unresponsive
ENSG00000142655	PEX14	unresponsive
ENSG00000130940	CASZ1	unresponsive
ENSG00000272078	AL139423.1	unresponsive
ENSG00000120948	TARDBP	unresponsive
ENSG00000009724	MASP2	unresponsive
