Feature	median_Unresponsive	median_Downregulated	median_Upregulated	fdr_Downregulated	fdr_Upregulated
Broad conservation	26	16	17	1.23431270181703e-22	7.05614099228378e-49
Codon Pair Bias	0.073	0.075	0.074	0.049208897644924	0.72420274339186
Disorder	0.11	0.083	0.148	0.0600218068430886	0.000394036256112346
Distance-to-Median	0	0	0	0.167641182248538	0.412680496980775
GC content CDS	0.526	0.523	0.574	0.921063267339253	1.08968684040728e-29
GC content 3'UTR	0.426	0.412	0.471	0.0709948362672511	1.97684100414393e-08
GC content 5'UTR	0.657	0.619	0.621	6.00404076943341e-06	2.45965268766453e-10
Half-life	4	2.41	2.67	1.93631606445607e-44	7.37761763739415e-39
Length CDS	1386	1398	1272	0.397648037678252	0.00998008820754931
Length 3'UTR	948	1456	688	3.4194855877868e-06	2.37155777117056e-12
Length 5'UTR	189	198	187	0.540734385780935	0.0999939393994481
Number of transcription factors	103	90.5	58	0.000267558643680564	7.57593003337757e-54
PPI degree	21	9	10	3.11636141538026e-12	3.52514354921088e-24
