Feature	median_Unresponsive	median_Downregulated	median_Upregulated	fdr_Downregulated	fdr_Upregulated
Broad conservation	18	53.5	9	1.47256307254453e-26	5.19278824911067e-08
Codon Pair Bias	0.014	0.018	0.014	1.76786650207931e-15	0.202097677321184
Disorder	0.192	0.206	0.186	0.154694227275565	0.773911582184489
Distance-to-Median	-0.005	0.011	0.037	1.34699820870664e-06	1.4593711744576e-27
GC content CDS	0.397	0.399	0.405	0.151201182489592	4.93721337268993e-08
GC content 3'UTR	0.287	0.274	0.286	6.59413536555002e-07	0.25601926982696
GC content 5'UTR	0.345	0.333	0.333	0.000261898179197357	0.00184428166341822
Half-life	3.87	3.908	4.609	0.988433612257639	6.59413536555002e-07
Length CDS	1056	1185	1101	1.80643310052098e-05	0.189704310907063
Length 3'UTR	104	106	112.5	0.686780291834914	0.0145053694475181
Length 5'UTR	54	46	68	3.77180316057927e-05	1.1871880970865e-06
Number of transcription factors	20	29	31	2.88287748267732e-56	7.2786751450176e-61
PPI degree	2	5	1	1.73502239255513e-25	0.000244863062370238
