ensembl_gene_id	external_gene_name	log2FoldChange	lfcSE	padj	stressType
15S_rRNA		0.245847464321069	0.379412442592839	1	unresponsive
21S_rRNA		-0.0800076776629386	0.319212234135135	1	unresponsive
HRA1		0.559929241162593	0.201528739680968	1	unresponsive
ICR1		0.824207161700732	0.125682345780203	1	unresponsive
LSR1		-0.924617724613561	0.223691797394717	1	unresponsive
NME1		0.47189905271155	0.263428358677908	1	unresponsive
PWR1		-0.0614944369921181	0.515354611573737	1	unresponsive
Q0010		NA	NA	NA	NA
Q0017		NA	NA	NA	NA
Q0032		0.117850952452175	1.08107317843976	NA	unresponsive
Q0045	COX1	0.636081772651571	0.727292564328303	1	unresponsive
Q0050	AI1	0.366292423531125	0.421420480776763	1	unresponsive
Q0055	AI2	-0.482326203661357	0.491775206405918	1	unresponsive
Q0060	AI3	0.463928392680368	1.04594205050662	NA	unresponsive
Q0065	AI4	0.294450284119271	1.0870594017864	NA	unresponsive
Q0070	AI5_ALPHA	-0.0915903322752449	1.08108571952903	NA	unresponsive
Q0075	AI5_BETA	-0.655154828117571	0.953621606885963	NA	unresponsive
Q0080	ATP8	NA	NA	NA	NA
Q0085	ATP6	0.524130400344072	0.815249397072466	1	unresponsive
Q0092		NA	NA	NA	NA
Q0105	COB	0.354213378337515	0.726896367944862	NA	unresponsive
Q0110	BI2	0.322169347209582	1.07935690086419	NA	unresponsive
Q0115	BI3	-0.157516200806454	1.08117466893379	NA	unresponsive
Q0120	BI4	-0.0564769218234843	1.11543070106883	NA	unresponsive
Q0130	OLI1	-0.314119487774856	1.00741979076443	NA	unresponsive
Q0140	VAR1	-0.0277142107103363	1.08112817534473	NA	unresponsive
Q0142		NA	NA	NA	NA
Q0143		NA	NA	NA	NA
Q0144		NA	NA	NA	NA
Q0160	SCEI	-0.159742429507076	1.11807824683084	NA	unresponsive
Q0182		0.0378893032483854	1.08117932588041	NA	unresponsive
Q0250	COX2	0.0601317326215595	0.599177196443616	1	unresponsive
Q0255		-0.0843946265818413	1.04178390990756	NA	unresponsive
Q0275	COX3	0.612315680816879	0.773198296874836	1	unresponsive
Q0297		NA	NA	NA	NA
RDN18-1		NA	NA	NA	NA
RDN18-2		NA	NA	NA	NA
RDN25-1		NA	NA	NA	NA
RDN25-2		NA	NA	NA	NA
RDN37-1		NA	NA	NA	NA
RDN37-2		NA	NA	NA	NA
RDN5-1		0.196016867096673	0.571309925396376	1	unresponsive
RDN5-2		-0.105128403805871	1.08119359978097	NA	unresponsive
RDN5-3		NA	NA	NA	NA
RDN5-4		-0.0914979683542605	1.08107317843976	NA	unresponsive
RDN5-5		0.969117076142999	0.813751570038003	NA	unresponsive
RDN5-6		0.113569121913055	1.0812732763515	NA	unresponsive
RDN58-1		NA	NA	NA	NA
RDN58-2		NA	NA	NA	NA
RNA170		1.03019647975361	0.277948218927177	1	unresponsive
RPM1		NA	NA	NA	NA
RPR1		0.881520576391167	0.230186954057334	1	unresponsive
