id	seqName	strand	first	last	LENGTH	type	name	commonName	sense name	source	overlapXu	 wt 15' 0.4M - wt 0	hog1Δ 15' 0.4M -  hog1Δ 0	 wt 100' 1.2M - wt 0	hog1Δ 100' 1.2M -  hog1Δ 0
1236	4	+	1507941	1509757	1816	ORF-T	YDR536W	STL1		SteinmetzLab	ST0798	262.9392837045	-1.1852562969	209.3637879177	1.4179425913
2466	7	+	593123	594835	1712	ORF-T	YGR052W	FMP48		SteinmetzLab	ST1232	135.8767248848	29.3310373385	7.4542249101	1.1863924531
2812	7	-	591103	591631	528	SUTs	SUT552	SUT552	SCM4	SteinmetzLab	ST4909	82.0832738965	2.2006138599	36.6779227737	2.0255247917
2605	7	+	977250	977818	568	ORF-T	YGR243W	FMP43		SteinmetzLab	ST1361	75.783460823	3.7998994377	64.0725517511	3.8607187547
3085	8	+	280745	281329	584	ORF-T	YHR087W	YHR087W		SteinmetzLab	ST1476	67.657972631	19.0605708839	63.7906832274	5.9100426875
6127	14	-	272487	273703	1216	ORF-T	YNL194C	YNL194C		SteinmetzLab	ST6486	62.6231016748	3.0938391526	44.0090586228	1.6758335125
2488	7	+	654619	656411	1792	ORF-T	YGR088W	CTT1		SteinmetzLab	ST1252	61.2293263766	6.741336188	15.798591496	2.1063377969
6334	15	+	162154	165298	3144	ORF-T	YOL084W	PHM7		SteinmetzLab	ST3021	51.7291268432	4.3533104183	26.2996889397	1.4704048196
3939	10	-	217524	220684	3160	ORF-T	YJL108C, YJL107C	PRM10, YJL107C		SteinmetzLab	ST5455	49.0605091206	1.0538185068	24.1382536322	1.0049694182
3284	8	-	294477	296781	2304	ORF-T	YHR096C	HXT5		SteinmetzLab	ST5176	47.4389851185	3.4164131656	60.0938162162	1.8594998216
3282	8	-	290669	290821	152	CUTs	CUT648	CUT648		SteinmetzLab	ST5174	46.2121503547	3.1203913556	18.8203926275	1.1178073297
2005	5	-	260597	261101	504	ORF-T	YER053C-A	YER053C-A		SteinmetzLab	ST4570	35.8777633379	3.0317076983	26.1154826743	1.459158075
483	2	-	474436	476428	1992	ORF-T	YBR116C, YBR117C	YBR116C, TKL2		SteinmetzLab	ST3818	33.4554445386	-1.070450208	40.9177307454	1.0290396381
6695	15	-	160742	161894	1152	other	YOL085C	YOL085C		SteinmetzLab	ST6677	32.6598007569	22.7402118113	28.3164906668	5.5559084131
1263	4	-	89525	89845	320	CUTs	CUT471	CUT471		SteinmetzLab	ST4032	32.2224375903	-1.060277209	18.6992620157	1.0519637819
6126	14	-	271543	272399	856	ORF-T	YNL195C	YNL195C		SteinmetzLab	ST6485	28.3289655988	1.9085803608	13.8494489012	-1.1449968392
1259	4	-	74437	76613	2176	ORF-T	YDL214C	PRR2		SteinmetzLab	ST4028	27.4980469783	2.2448649353	11.0438360544	1.4943498468
1252	4	-	60541	61893	1352	ORF-T	YDL222C	FMP45		SteinmetzLab	ST4022	23.1601882452	2.1283858084	13.9707438602	1.5562177868
6972	15	-	986679	988871	2192	ORF-T	YOR348C	PUT4		SteinmetzLab	ST6946	22.9831572113	1.6796201366	9.0877877607	1.2852606518
7487	16	-	518071	518551	480	CUTs	CUT904	CUT904		SteinmetzLab	ST7132	22.7875251873	8.4802518955	19.135142542	3.3935411045
2607	7	+	985954	986794	840	ORF-T	YGR248W	SOL4		SteinmetzLab	ST1363	21.6663501068	3.8001166866	10.649068491	1.7665092557
2141	6	+	107209	107745	536	ORF-T	YFL014W	HSP12		SteinmetzLab	ST0997	20.643914194	10.7411835226	26.8308272804	5.7470619329
1779	5	+	133089	135313	2224	ORF-T	YEL011W	GLC3		SteinmetzLab	ST0844	20.118010898	7.3308316177	8.848152827	3.4003579393
2547	7	+	793315	794003	688	other	YGRWdelta26	YGRWdelta26		SteinmetzLab	ST1306	19.9379077136	10.1399196923	28.6435451569	-1.1157555062
5491	13	-	14957	16845	1888	ORF-T	YML128C	MSC1		SteinmetzLab	ST6136	19.5244071991	2.873457566	11.2164876793	1.6653619055
4	1	+	33361	34897	1536	ORF-T	YAL061W	BDH2		SteinmetzLab	ST0004	19.4282238075	16.1287042369	6.9825183548	3.4604953158
6763	15	-	383254	384694	1440	ORF-T	YOR028C	CIN5		SteinmetzLab	ST6742	19.4172336502	4.9233861804	1.4876962775	-1.2220334415
6715	15	-	231302	231798	496	ORF-T	YOL052C-A	DDR2		SteinmetzLab	ST6696	19.3924129774	14.4496586337	22.0160741998	3.6045843613
7031	16	+	115057	116585	1528	ORF-T	YPL230W	YPL230W		SteinmetzLab	ST3356	18.9647418048	11.1761203497	9.0270480209	2.5362179449
5678	13	-	599413	601133	1720	ORF-T	YMR169C	ALD3		SteinmetzLab	ST6310	18.6525873883	1.7142735745	11.5173491376	1.5170907974
6787	15	-	442758	443638	880	ORF-T	YOR062C	YOR062C		SteinmetzLab	ST6766	18.408611571	6.2783176659	7.3673991456	4.311865779
5679	13	-	601493	603213	1720	ORF-T	YMR170C	ALD2		SteinmetzLab	ST6311	17.9587104166	1.5891472349	9.4216081754	1.4906846976
6003	14	+	652428	653156	728	ORF-T	YNR014W	YNR014W		SteinmetzLab	ST2928	17.9427512301	22.9345198942	6.0099085265	4.0095658984
1251	4	-	57149	60469	3320	ORF-T	YDL223C	HBT1		SteinmetzLab	ST4021	17.6711012359	1.4893625865	5.0447204182	-1.1368777952
5964	14	+	559748	560612	864	ORF-T	YNL036W	NCE103		SteinmetzLab	ST2892	15.8796410977	1.5563548974	5.0390640319	1.4247997077
1437	4	-	588039	588447	408	ORF-T	YDR070C	FMP16		SteinmetzLab	ST4200	15.3364268533	3.3209027057	7.5548661443	1.5577134127
2808	7	-	580271	581431	1160	ORF-T	YGR043C	NQM1		SteinmetzLab	ST4905	14.7508107256	1.1063901299	28.2504590244	1.4388431054
4633	12	+	290065	292185	2120	ORF-T	YLR081W	GAL2		SteinmetzLab	ST2200	14.5718031134	28.5558470497	6.270638096	2.6174753125
2608	7	+	987874	989930	2056	ORF-T	YGR249W	MGA1		SteinmetzLab	ST1364	14.517753635	5.7075118981	2.657538527	1.0737667619
2572	7	+	875331	876020	689	other	YGRWdelta31	YGRWdelta31		SteinmetzLab	ST1329	14.044676844	1.0196192412	13.8508516628	-1.0084605499
2226	6	-	174125	176493	2368	ORF-T	YFR015C	GSY1		SteinmetzLab	ST4709	13.8241985575	25.1471411277	2.7900509734	2.8109656465
7488	16	-	518551	520367	1816	ORF-T	YPL017C	IRC15		SteinmetzLab	ST7133	13.6718324665	13.1429729006	12.9353532841	5.6384647742
1310	4	-	230669	232197	1528	SUTs	SUT_FS0083	SUT_FS0083		FrancescLab	NA	13.3187029434	1.1078526311	13.2578680613	1.1788906008
5200	13	+	70569	74025	3456	ORF-T	YML100W	TSL1		SteinmetzLab	ST2438	13.2645665931	9.0822946334	7.9629680297	2.9963189272
1892	5	+	468345	468953	608	ORF-T	YER150W	SPI1		SteinmetzLab	ST0948	13.2397473414	8.6264408324	11.7000328865	4.8134761428
6654	15	-	40965	43294	2329	SUTs	SUT765	SUT765	FRE7	SteinmetzLab	ST6637	12.9760113931	1.0758885418	4.7496826305	-1.129168121
2824	7	-	623527	624855	1328	ORF-T	YGR067C	YGR067C		SteinmetzLab	ST4920	12.2028016321	1.3273495398	2.2481044484	1.0457112385
6969	15	-	982303	982519	216	CUTs	CUT872	CUT872		SteinmetzLab	ST6943	12.1903238763	4.1014154095	3.5733165857	1.660716573
935	4	+	521275	521563	288	ORF-T	YDR034W-B	YDR034W-B		SteinmetzLab	ST0507	12.132935856	7.8429716789	34.7931110916	3.6890713721
3230	8	-	149374	150310	936	ORF-T	YHR022C	YHR022C		SteinmetzLab	ST5124	12.0951291976	2.2910990434	3.4017871195	1.0736929928
4740	12	+	641353	642321	968	ORF-T	YLR251W, YLR252W	SYM1, YLR252W		SteinmetzLab	ST2300	11.7693278432	4.274591935	8.5977158812	2.0410175339
6847	15	-	636838	638718	1880	ORF-T	YOR161C	PNS1		SteinmetzLab	ST6825	11.718494263	7.3086208925	6.0893995657	1.9960874706
5636	13	-	475773	477661	1888	ORF-T	YMR105C	PGM2		SteinmetzLab	ST6272	11.2609666287	5.3230661443	5.6306622939	2.1288495539
5620	13	-	429893	431245	1352	ORF-T	YMR081C	ISF1		SteinmetzLab	ST6256	10.8838341797	2.955201627	2.3137659703	1.6528495713
3424	9	+	257745	258513	768	SUTs	SUT_FS0042	SUT_FS0042		FrancescLab	NA	10.7555239904	2.2099146282	9.539639538	2.4030943352
2638	7	-	21885	23349	1464	CUTs	CUT583	CUT583		SteinmetzLab	ST4743	10.7078032096	2.3378310373	5.2181100106	1.0262263627
2017	5	-	279845	280829	984	ORF-T	YER062C	HOR2		SteinmetzLab	ST4582	10.6315261955	2.5962273996	10.6229077456	3.3563100396
4994	12	-	437421	439901	2480	ORF-T	YLR149C	YLR149C		SteinmetzLab	ST5959	10.5569911551	7.6741386366	7.9953226418	3.5235140693
6917	15	-	834231	836519	2288	ORF-T	YOR273C	TPO4		SteinmetzLab	ST6894	10.521471502	18.1620850556	4.737560508	2.443368102
1013	4	+	806556	807828	1272	ORF-T	YDR171W	HSP42		SteinmetzLab	ST0582	10.4192473673	10.8909506741	41.7337575406	14.6816232598
5442	13	+	770633	772657	2024	ORF-T	YMR250W	GAD1		SteinmetzLab	ST2669	10.3604814504	6.7546149447	7.5114523635	2.7525290138
6636	15	+	1039787	1041539	1752	ORF-T	YOR374W	ALD4		SteinmetzLab	ST3312	10.1921062946	2.3324428542	4.8819323574	2.1209553556
892	4	+	411761	413217	1456	ORF-T	YDL022W	GPD1		SteinmetzLab	ST0467	10.1143580187	6.9794721489	10.6873983904	5.2825629288
3533	9	-	175213	177437	2224	other	YIL101C, YIL100C-A	XBP1, YIL100C-A		SteinmetzLab	ST5288	9.9915594517	10.5627958602	5.5417980979	2.1911012937
3192	8	-	64398	65910	1512	ORF-T	YHL021C	FMP12		SteinmetzLab	ST5091	9.8449544664	6.8039156622	8.4657372056	2.2830517558
959	4	+	593659	596771	3112	ORF-T	YDR074W	TPS2		SteinmetzLab	ST0530	9.7857747314	5.3734509286	4.8345658867	1.7274718715
7145	16	+	455611	457019	1408	ORF-T	YPL054W	LEE1		SteinmetzLab	ST3470	9.5451209105	11.1663612601	4.2274869428	2.6000831245
5102	12	-	782947	783483	536	ORF-T	YLR327C	TMA10		SteinmetzLab	ST6060	9.527211054	5.5166132902	10.7464083399	3.8535169465
2609	7	+	990042	993202	3160	SUTs	SUT_FS0034	SUT_FS0034		FrancescLab	NA	9.411610903	3.4994356586	1.9182749511	-1.0594707277
3089	8	+	293969	296201	2232	SUTs	SUT164	SUT164	HXT5	SteinmetzLab	ST1480	8.8964381861	1.8104518453	1.7629933387	-1.2399199024
1816	5	+	225817	227049	1232	ORF-T	YER037W	PHM8		SteinmetzLab	ST0878	8.8670848819	20.1238081456	15.5025401362	7.8406396482
