external_gene_name	ensembl_gene_id	Yeast_conservation	dN/dS	Multifunctionality	Disorder	PPI_degree	SM_fitness_defect	Copy_number	CAI	Nc	Co-expression_degree	Protein_length	Expression_level	Expression_variation	Num_of_domains	Num_of_unique_domains	Broad_conservation	Observed_GI_degree	Ortholog_in_other_species_common_name	Ortholog_in_other_species_systematic name
TFC3	YAL001C	23	0.1134	3	0.1707	14	NaN	1	0.217	5.25E+01	60	1160	0.3	0.5654	1	1	0	NaN	sfc3	SPBC336.07
VPS8	YAL002W	23	0.1195	16	0.1177	4	0.302	1	0.219	5.09E+01	66	1274	0.2	0.4408	1	1	55	104	vps8	SPAC17A2.06c
EFB1	YAL003W	20	NaN	6	0.2476	3	NaN	1	0.771	2.67E+01	690	206	19.1	0.6392	2	2	79	NaN	tef5	SPCC1450.04
SSA1	YAL005C	13	0.0116	24	0.1262	7	-0.024	9	0.723	2.83E+01	135	642	13.4	0.6251	1	1	70	22		
ERP2	YAL007C	23	0.0802	9	0.1163	44	-0.035	3	0.3	4.95E+01	362	215	2.2	0.3942	1	1	45	9		
FUN14	YAL008W	23	0.1831	6	0.1313	3	-0.025	1	0.22	5.17E+01	603	198	1.2	0.4773	1	1	0	7		
SPO7	YAL009W	23	0.0694	10	0.2548	1	NaN	1	0.218	5.82E+01	29	259	0.6	0.3691	1	1	2	NaN	SPBC902.03	SPBC902.03
MDM10	YAL010C	23	0.0957	12	0.1805	0	0.324	1	0.191	5.06E+01	72	493	0.3	0.4751	1	1	7	125	mdm10	SPAC17H9.17c
SWC3	YAL011W	19	0.1152	12	0.544	11	0.043	1	0.25	5.36E+01	79	625	0.4	0.4273	NaN	NaN	1	119		
CYS3	YAL012W	20	0.0181	14	0.033	3	NaN	1	0.47	3.50E+01	179	394	8.9	0.6031	1	1	74	NaN		
DEP1	YAL013W	21	0.0539	12	0.469	7	0.119	1	0.224	5.24E+01	61	420	0.6	0.4023	1	1	0	150		
SYN8	YAL014C	23	NaN	8	0.4667	1	-0.049	2	0.201	5.46E+01	101	255	1.1	0.3609	1	1	1	14		
NTG1	YAL015C	23	0.1074	1	0.188	0	-0.046	2	0.211	5.71E+01	259	399	0.7	0.3472	2	2	34	4		
TPD3	YAL016W	23	0.0376	14	0.0268	31	NaN	1	0.237	4.61E+01	385	635	3.3	0.3883	1	1	84	NaN	paa1	SPAP8A3.09c
PSK1	YAL017W	23	0.0651	11	0.4115	9	-0.022	2	0.203	5.28E+01	500	1356	0.4	0.4537	1	1	9	15		
YAL018C	YAL018C	18	0.1245	5	0.0831	0	0.022	3	0.214	5.07E+01	15	325	NaN	0.5648	NaN	NaN	2	24		
FUN30	YAL019W	23	0.0519	14	0.527	7	0.058	1	0.235	5.19E+01	654	1131	0.9	0.4212	2	2	58	51		
ATS1	YAL020C	22	0.2173	7	0	3	0.04	1	0.152	5.49E+01	22	333	0.7	0.4794	2	1	31	27	SPAC10F6.04	SPAC10F6.04
CCR4	YAL021C	23	0.0429	24	0.1661	16	NaN	2	0.246	5.71E+01	66	837	1.3	0.3616	2	2	55	NaN	ccr4	SPCC31H12.08c
FUN26	YAL022C	20	0.0351	7	0.1915	0	-0.01	1	0.219	5.65E+01	46	517	0.9	0.4001	1	1	70	5		
