ensembl_gene_id	external_gene_name	stressType	hog1Dependency	Broad_conservation	CAI	Co.expression_degree	cpb	Disorder	DM	dN.dS	Expression_level	Expression_variation	gc_CDS	gc_UTR3	gc_UTR5	halfLife	length_CDS	length_UTR3	length_UTR5	LLR	Multifunctionality	Nc	nTf	Num_of_domains	Num_of_unique_domains	Observed_GI_degree	PARS_CDS	PARS_UTR3	PARS_UTR5	PPI_degree	SM_fitness_defect	vst_residual_variance	Yeast_conservation
Q0010		unresponsive	unresponsive	NA	NA	NA	-0.0165160288085265	NA	NA	NA	NA	NA	0.237726098191214	NA	NA	NA	387	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q0017		unresponsive	unresponsive	NA	NA	NA	-0.0426093481464348	NA	NA	NA	NA	NA	0.290123456790123	NA	NA	NA	162	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q0032		unresponsive	unresponsive	NA	NA	NA	-0.0121525406955524	NA	NA	NA	NA	NA	0.11340206185567	NA	NA	NA	291	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q0045	COX1	unresponsive	unresponsive	29	0.205	19	0.00331372889225985	0.0037	NA	NA	NA	NA	0.299065420560748	0.055045871559633	NA	NA	1605	109	NA	-12.013	NA	NA	6	NA	NA	NA	NA	NA	NA	0	NA	NA	7
Q0050	AI1	unresponsive	unresponsive	4	0.209	1	-0.0152579826187444	0.1331	NA	NA	NA	NA	0.249500998003992	NA	NA	2.338117416	2505	NA	NA	-8.034	NA	NA	8	NA	NA	NA	NA	NA	NA	1	NA	NA	2
Q0055	AI2	unresponsive	unresponsive	1	0.224	0	-0.0148927210811327	0.1241	NA	NA	NA	NA	0.265107212475634	NA	NA	2.897261993	2565	NA	NA	-10.06	NA	NA	6	NA	NA	NA	NA	NA	NA	0	NA	NA	1
Q0060	AI3	unresponsive	unresponsive	1	0.176	0	-0.0251843789088342	0.1067	NA	NA	NA	NA	0.216346153846154	NA	NA	NA	1248	NA	NA	5.407	NA	NA	3	NA	NA	NA	NA	NA	NA	0	NA	NA	7
Q0065	AI4	unresponsive	unresponsive	0	0.201	1	-0.00246122110491441	0.068	NA	NA	NA	NA	0.234590065828845	0.233644859813084	NA	NA	1671	214	NA	-9.313	NA	NA	3	NA	NA	NA	NA	NA	NA	0	NA	NA	1
Q0070	AI5_ALPHA	unresponsive	unresponsive	NA	0.208	0	-0.00343581574511743	0.0016	NA	NA	NA	NA	0.228737453777073	0.198821796759941	NA	NA	1893	679	NA	10.488	NA	NA	7	NA	NA	NA	NA	NA	NA	0	NA	NA	1
Q0075	AI5_BETA	unresponsive	unresponsive	1	0.193	0	-0.0399774400631972	0.0141	NA	NA	NA	NA	0.165258215962441	NA	NA	NA	1065	NA	NA	-11.575	NA	NA	8	NA	NA	NA	NA	NA	NA	0	NA	NA	1
Q0080	ATP8	unresponsive	unresponsive	0	0.282	4	-0.0368663093832229	0.0208	NA	NA	NA	NA	0.19047619047619	0.0510204081632653	0	NA	147	294	21	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	0	NA	NA	2
